"Elec"
"Emanuel","Emanuel_Pct","Fioretti","Fioretti_Pct","Garcia","Garcia_Pct","Pct","Votes Cast","Walls","Walls_Pct","Wilson","Wilson_Pct"
"","%","","%","","%","","Votes Cast","","%","","%"
"62","31.79%","11","5.64%","115","58.97%","1","195","2","1.03%","5","2.56%"
"56","29.63%","13","6.88%","109","57.67%","2","189","1","0.53%","10","5.29%"
"95","45.67%","15","7.21%","94","45.19%","3","208","1","0.48%","3","1.44%"
"112","48.28%","21","9.05%","93","40.09%","4","232","2","0.86%","4","1.72%"
"90","53.25%","10","5.92%","64","37.87%","5","169","1","0.59%","4","2.37%"
"88","40.74%","17","7.87%","106","49.07%","6","216","2","0.93%","3","1.39%"
"60","38.96%","15","9.74%","72","46.75%","7","154","5","3.25%","2","1.30%"
"118","52.44%","8","3.56%","81","36.00%","8","225","3","1.33%","15","6.67%"
"87","43.94%","13","6.57%","86","43.43%","9","198","0","0.00%","12","6.06%"
"99","54.40%","12","6.59%","63","34.62%","10","182","3","1.65%","5","2.75%"
"73","40.56%","16","8.89%","87","48.33%","11","180","2","1.11%","2","1.11%"
"74","33.04%","34","15.18%","105","46.88%","12","224","5","2.23%","6","2.68%"
"39","39.00%","4","4.00%","54","54.00%","13","100","1","1.00%","2","2.00%"
"112","50.91%","15","6.82%","82","37.27%","14","220","1","0.45%","10","4.55%"
"49","25.26%","24","12.37%","110","56.70%","15","194","2","1.03%","9","4.64%"
"57","28.93%","8","4.06%","129","65.48%","16","197","0","0.00%","3","1.52%"
"73","35.44%","11","5.34%","110","53.40%","17","206","3","1.46%","9","4.37%"
"79","35.11%","10","4.44%","127","56.44%","18","225","1","0.44%","8","3.56%"
"100","33.11%","14","4.64%","184","60.93%","19","302","4","1.32%","0","0.00%"
"50","26.88%","11","5.91%","116","62.37%","20","186","1","0.54%","8","4.30%"
"89","51.15%","5","2.87%","71","40.80%","21","174","5","2.87%","4","2.30%"
"58","44.27%","7","5.34%","63","48.09%","22","131","1","0.76%","2","1.53%"
"","%","","%","","%","","Votes Cast","","%","","%"
"100","33.00%","22","7.26%","174","57.43%","23","303","1","0.33%","6","1.98%"
"62","36.47%","5","2.94%","92","54.12%","24","170","0","0.00%","11","6.47%"
"49","31.21%","10","6.37%","86","54.78%","25","157","3","1.91%","9","5.73%"
"48","30.19%","9","5.66%","100","62.89%","26","159","1","0.63%","1","0.63%"
"74","43.53%","14","8.24%","73","42.94%","27","170","2","1.18%","7","4.12%"
"64","48.48%","2","1.52%","36","27.27%","28","132","14","10.61%","16","12.12%"
"105","46.88%","16","7.14%","90","40.18%","29","224","3","1.34%","10","4.46%"
"77","30.56%","5","1.98%","154","61.11%","30","252","4","1.59%","12","4.76%"
"99","47.37%","10","4.78%","87","41.63%","31","209","3","1.44%","10","4.78%"
"82","42.05%","28","14.36%","83","42.56%","32","195","0","0.00%","2","1.03%"
"100","42.92%","19","8.15%","105","45.06%","33","233","2","0.86%","7","3.00%"
"60","33.15%","12","6.63%","106","58.56%","34","181","0","0.00%","3","1.66%"
"98","44.34%","20","9.05%","94","42.53%","35","221","5","2.26%","4","1.81%"
"92","48.17%","29","15.18%","66","34.55%","36","191","0","0.00%","4","2.09%"
"94","45.63%","28","13.59%","82","39.81%","37","206","1","0.49%","1","0.49%"
"3349","39.60%","618","7.31%","4128","48.81%","","","103","1.22%","260","3.07%"
"70","31.53%","24","10.81%","120","54.05%","38","222","2","0.90%","6","2.70%"
"70","39.33%","14","7.87%","93","52.25%","39","178","0","0.00%","1","0.56%"
"113","49.78%","20","8.81%","77","33.92%","40","227","5","2.20%","12","5.29%"
"46","30.26%","5","3.29%","96","63.16%","41","152","3","1.97%","2","1.32%"
"10","17.86%","6","10.71%","40","71.43%","42","56","0","0.00%","0","0.00%"
"62","36.47%","12","7.06%","81","47.65%","43","170","7","4.12%","8","4.71%"
"54","37.76%","14","9.79%","72","50.35%","44","143","1","0.70%","2","1.40%"
"","%","","%","","%","","Votes Cast","","%","","%"
"90","48.39%","12","6.45%","76","40.86%","1","186","0","0.00%","8","4.30%"
"186","76.54%","20","8.23%","29","11.93%","2","243","1","0.41%","7","2.88%"
"95","48.97%","16","8.25%","72","37.11%","3","194","4","2.06%","7","3.61%"
"68","33.17%","31","15.12%","98","47.80%","4","205","2","0.98%","6","2.93%"
"75","37.13%","18","8.91%","102","50.50%","5","202","1","0.50%","6","2.97%"
"65","33.33%","30","15.38%","91","46.67%","6","195","1","0.51%","8","4.10%"
"106","54.08%","13","6.63%","67","34.18%","7","196","1","0.51%","9","4.59%"
"73","36.68%","27","13.57%","91","45.73%","8","199","1","0.50%","7","3.52%"
"125","74.40%","11","6.55%","28","16.67%","9","168","1","0.60%","3","1.79%"
"202","78.60%","23","8.95%","26","10.12%","10","257","1","0.39%","5","1.95%"
"219","80.51%","14","5.15%","35","12.87%","11","272","2","0.74%","2","0.74%"
"148","59.92%","23","9.31%","53","21.46%","12","247","9","3.64%","14","5.67%"
"237","70.12%","33","9.76%","60","17.75%","13","338","2","0.59%","6","1.78%"
"116","40.28%","35","12.15%","118","40.97%","14","288","6","2.08%","13","4.51%"
"99","48.29%","19","9.27%","69","33.66%","15","205","5","2.44%","13","6.34%"
"81","50.63%","13","8.13%","60","37.50%","16","160","0","0.00%","6","3.75%"
"156","51.66%","23","7.62%","111","36.75%","17","302","3","0.99%","9","2.98%"
"169","72.53%","18","7.73%","39","16.74%","18","233","3","1.29%","4","1.72%"
"205","82.00%","7","2.80%","30","12.00%","19","250","2","0.80%","6","2.40%"
"102","65.81%","14","9.03%","35","22.58%","20","155","0","0.00%","4","2.58%"
"107","45.92%","17","7.30%","105","45.06%","21","233","1","0.43%","3","1.29%"
"192","69.06%","23","8.27%","56","20.14%","22","278","0","0.00%","7","2.52%"
"208","83.87%","3","1.21%","35","14.11%","23","248","0","0.00%","2","0.81%"
"","%","","%","","%","","Votes Cast","","%","","%"
"156","73.24%","14","6.57%","33","15.49%","24","213","3","1.41%","7","3.29%"
"106","53.54%","25","12.63%","63","31.82%","25","198","1","0.51%","3","1.52%"
"123","61.19%","17","8.46%","42","20.90%","26","201","2","1.00%","17","8.46%"
"176","76.19%","16","6.93%","29","12.55%","27","231","3","1.30%","7","3.03%"
"170","67.73%","19","7.57%","58","23.11%","28","251","1","0.40%","3","1.20%"
"160","72.73%","12","5.45%","42","19.09%","29","220","1","0.45%","5","2.27%"
"149","70.95%","17","8.10%","40","19.05%","30","210","1","0.48%","3","1.43%"
"264","77.19%","22","6.43%","48","14.04%","31","342","0","0.00%","8","2.34%"
"111","67.27%","11","6.67%","34","20.61%","32","165","4","2.42%","5","3.03%"
"269","71.93%","36","9.63%","62","16.58%","33","374","3","0.80%","4","1.07%"
"190","78.84%","17","7.05%","32","13.28%","34","241","1","0.41%","1","0.41%"
"139","72.02%","16","8.29%","29","15.03%","35","193","2","1.04%","7","3.63%"
"162","72.65%","22","9.87%","31","13.90%","36","223","1","0.45%","7","3.14%"
"168","61.54%","29","10.62%","66","24.18%","37","273","0","0.00%","10","3.66%"
"215","77.06%","20","7.17%","39","13.98%","38","279","1","0.36%","4","1.43%"
"143","67.14%","15","7.04%","32","15.02%","39","213","4","1.88%","19","8.92%"
"6727","64.47%","863","8.27%","2428","23.27%","","","85","0.81%","331","3.17%"
"126","68.11%","17","9.19%","35","18.92%","40","185","3","1.62%","4","2.16%"
"91","68.94%","13","9.85%","22","16.67%","41","132","1","0.76%","5","3.79%"
"139","67.80%","14","6.83%","39","19.02%","42","205","3","1.46%","10","4.88%"
"204","75.28%","21","7.75%","38","14.02%","43","271","0","0.00%","8","2.95%"
"100","62.11%","16","9.94%","43","26.71%","44","161","0","0.00%","2","1.24%"
"161","58.12%","22","7.94%","59","21.30%","45","277","4","1.44%","31","11.19%"
"81","66.39%","9","7.38%","26","21.31%","46","122","0","0.00%","6","4.92%"
"","%","","%","","%","","Votes Cast","","%","","%"
"107","35.67%","11","3.67%","73","24.33%","1","300","29","9.67%","80","26.67%"
"230","53.24%","14","3.24%","68","15.74%","2","432","20","4.63%","100","23.15%"
"157","60.15%","14","5.36%","47","18.01%","3","261","8","3.07%","35","13.41%"
"115","39.38%","25","8.56%","83","28.42%","4","292","20","6.85%","49","16.78%"
"88","45.36%","9","4.64%","30","15.46%","5","194","3","1.55%","64","32.99%"
"148","57.14%","39","15.06%","62","23.94%","6","259","4","1.54%","6","2.32%"
"116","42.65%","23","8.46%","49","18.01%","7","272","17","6.25%","67","24.63%"
"84","42.64%","12","6.09%","50","25.38%","8","197","12","6.09%","39","19.80%"
"127","42.91%","14","4.73%","77","26.01%","9","296","13","4.39%","65","21.96%"
"69","44.52%","12","7.74%","29","18.71%","10","155","7","4.52%","38","24.52%"
"94","37.30%","18","7.14%","66","26.19%","11","252","16","6.35%","58","23.02%"
"156","47.13%","16","4.83%","63","19.03%","12","331","14","4.23%","82","24.77%"
"174","57.43%","39","12.87%","70","23.10%","13","303","6","1.98%","14","4.62%"
"115","57.79%","22","11.06%","41","20.60%","14","199","6","3.02%","15","7.54%"
"85","36.48%","16","6.87%","45","19.31%","15","233","23","9.87%","64","27.47%"
"102","42.15%","8","3.31%","48","19.83%","16","242","17","7.02%","67","27.69%"
"123","46.77%","25","9.51%","63","23.95%","17","263","13","4.94%","39","14.83%"
"154","46.11%","42","12.57%","76","22.75%","18","334","18","5.39%","44","13.17%"
"127","56.19%","52","23.01%","40","17.70%","19","226","0","0.00%","7","3.10%"
"109","42.08%","14","5.41%","61","23.55%","20","259","20","7.72%","55","21.24%"
"165","53.92%","46","15.03%","61","19.93%","21","306","8","2.61%","26","8.50%"
"","%","","%","","%","","Votes Cast","","%","","%"
"102","45.13%","41","18.14%","73","32.30%","22","226","3","1.33%","7","3.10%"
"128","52.03%","12","4.88%","36","14.63%","23","246","23","9.35%","47","19.11%"
"117","46.61%","6","2.39%","49","19.52%","24","251","9","3.59%","70","27.89%"
"198","68.28%","29","10.00%","54","18.62%","25","290","0","0.00%","9","3.10%"
"218","60.06%","45","12.40%","76","20.94%","26","363","7","1.93%","17","4.68%"
"112","49.78%","50","22.22%","55","24.44%","27","225","3","1.33%","5","2.22%"
"118","48.56%","8","3.29%","23","9.47%","28","243","17","7.00%","77","31.69%"
"123","44.89%","11","4.01%","52","18.98%","29","274","11","4.01%","77","28.10%"
"112","38.36%","21","7.19%","80","27.40%","30","292","19","6.51%","60","20.55%"
"143","47.83%","12","4.01%","64","21.40%","31","299","13","4.35%","67","22.41%"
"153","57.95%","33","12.50%","57","21.59%","32","264","4","1.52%","17","6.44%"
"99","53.23%","33","17.74%","42","22.58%","33","186","2","1.08%","10","5.38%"
"155","52.36%","49","16.55%","55","18.58%","34","296","7","2.36%","30","10.14%"
"5223","49.07%","954","8.96%","2211","20.77%","","","489","4.59%","1768","16.61%"
"48","39.67%","19","15.70%","26","21.49%","35","121","10","8.26%","18","14.88%"
"51","36.43%","10","7.14%","18","12.86%","36","140","13","9.29%","48","34.29%"
"89","40.45%","6","2.73%","53","24.09%","37","220","21","9.55%","51","23.18%"
"178","57.23%","16","5.14%","47","15.11%","38","311","14","4.50%","56","18.01%"
"143","67.45%","28","13.21%","36","16.98%","39","212","1","0.47%","4","1.89%"
"149","49.17%","29","9.57%","71","23.43%","40","303","19","6.27%","35","11.55%"
"142","51.26%","25","9.03%","42","15.16%","41","277","19","6.86%","49","17.69%"
"","%","","%","","%","","Votes Cast","","%","","%"
"102","28.98%","27","7.67%","186","52.84%","1","352","11","3.13%","26","7.39%"
"168","60.22%","32","11.47%","61","21.86%","2","279","4","1.43%","14","5.02%"
"109","41.13%","4","1.51%","71","26.79%","3","265","15","5.66%","66","24.91%"
"144","40.91%","16","4.55%","88","25.00%","4","352","22","6.25%","82","23.30%"
"132","40.62%","16","4.92%","112","34.46%","5","325","15","4.62%","50","15.38%"
"215","52.70%","39","9.56%","81","19.85%","6","408","11","2.70%","62","15.20%"
"160","43.36%","22","5.96%","108","29.27%","7","369","21","5.69%","58","15.72%"
"132","36.36%","14","3.86%","110","30.30%","8","363","23","6.34%","84","23.14%"
"191","41.34%","23","4.98%","153","33.12%","9","462","29","6.28%","66","14.29%"
"150","43.73%","22","6.41%","99","28.86%","10","343","17","4.96%","55","16.03%"
"149","50.17%","19","6.40%","51","17.17%","11","297","20","6.73%","58","19.53%"
"111","38.41%","15","5.19%","94","32.53%","12","289","24","8.30%","45","15.57%"
"80","57.55%","22","15.83%","31","22.30%","13","139","2","1.44%","4","2.88%"
"115","37.46%","46","14.98%","74","24.10%","14","307","17","5.54%","55","17.92%"
"152","42.34%","21","5.85%","102","28.41%","15","359","25","6.96%","59","16.43%"
"144","62.07%","24","10.34%","58","25.00%","16","232","2","0.86%","4","1.72%"
"146","54.48%","43","16.04%","72","26.87%","17","268","2","0.75%","5","1.87%"
"149","47.76%","17","5.45%","74","23.72%","18","312","14","4.49%","58","18.59%"
"103","39.77%","15","5.79%","51","19.69%","19","259","22","8.49%","68","26.25%"
"","%","","%","","%","","Votes Cast","","%","","%"
"149","51.03%","51","17.47%","77","26.37%","20","292","7","2.40%","8","2.74%"
"125","51.44%","38","15.64%","61","25.10%","21","243","6","2.47%","13","5.35%"
"162","50.15%","14","4.33%","100","30.96%","22","323","17","5.26%","30","9.29%"
"155","41.89%","14","3.78%","158","42.70%","23","370","15","4.05%","28","7.57%"
"116","44.27%","18","6.87%","83","31.68%","24","262","16","6.11%","29","11.07%"
"147","57.87%","37","14.57%","55","21.65%","25","254","4","1.57%","11","4.33%"
"139","41.87%","21","6.33%","81","24.40%","26","332","15","4.52%","76","22.89%"
"103","33.01%","26","8.33%","143","45.83%","27","312","11","3.53%","29","9.29%"
"148","44.98%","28","8.51%","83","25.23%","28","329","21","6.38%","49","14.89%"
"96","39.02%","13","5.28%","73","29.67%","29","246","13","5.28%","51","20.73%"
"167","48.27%","16","4.62%","66","19.08%","30","346","21","6.07%","76","21.97%"
"201","51.54%","20","5.13%","97","24.87%","31","390","18","4.62%","54","13.85%"
"123","43.77%","14","4.98%","76","27.05%","32","281","15","5.34%","53","18.86%"
"5329","44.56%","942","7.88%","3396","28.40%","","","588","4.92%","1703","14.24%"
"136","39.65%","19","5.54%","110","32.07%","33","343","15","4.37%","63","18.37%"
"105","38.89%","15","5.56%","72","26.67%","34","270","22","8.15%","56","20.74%"
"169","43.11%","29","7.40%","114","29.08%","35","392","23","5.87%","57","14.54%"
"121","35.17%","48","13.95%","90","26.16%","36","344","30","8.72%","55","15.99%"
"149","51.20%","56","19.24%","75","25.77%","37","291","9","3.09%","2","0.69%"
"166","46.37%","28","7.82%","106","29.61%","38","358","14","3.91%","44","12.29%"
"","%","","%","","%","","Votes Cast","","%","","%"
"102","45.54%","8","3.57%","51","22.77%","1","224","17","7.59%","46","20.54%"
"96","43.05%","6","2.69%","56","25.11%","2","223","17","7.62%","48","21.52%"
"76","27.64%","14","5.09%","167","60.73%","3","275","10","3.64%","8","2.91%"
"128","43.69%","26","8.87%","100","34.13%","4","293","12","4.10%","27","9.22%"
"127","44.41%","7","2.45%","80","27.97%","5","286","23","8.04%","49","17.13%"
"103","41.04%","9","3.59%","72","28.69%","6","251","11","4.38%","56","22.31%"
"146","55.09%","8","3.02%","72","27.17%","7","265","9","3.40%","30","11.32%"
"143","47.19%","10","3.30%","143","47.19%","8","303","1","0.33%","6","1.98%"
"150","46.73%","14","4.36%","112","34.89%","9","321","12","3.74%","33","10.28%"
"83","37.73%","11","5.00%","64","29.09%","10","220","16","7.27%","46","20.91%"
"134","40.48%","13","3.93%","157","47.43%","11","331","6","1.81%","21","6.34%"
"73","36.50%","9","4.50%","60","30.00%","12","200","8","4.00%","50","25.00%"
"108","42.35%","1","0.39%","78","30.59%","13","255","18","7.06%","50","19.61%"
"137","43.63%","15","4.78%","88","28.03%","14","314","26","8.28%","48","15.29%"
"130","49.06%","7","2.64%","78","29.43%","15","265","14","5.28%","36","13.58%"
"126","47.01%","14","5.22%","53","19.78%","16","268","20","7.46%","55","20.52%"
"108","47.37%","5","2.19%","49","21.49%","17","228","15","6.58%","51","22.37%"
