"collection1"
"Pct","Voters"
"","VOTERS"
"1","732"
"2","682"
"3","795"
"4","766"
"5","764"
"6","731"
"7","457"
"8","703"
"9","528"
"10","778"
"11","739"
"12","858"
"13","337"
"14","700"
"15","660"
"16","534"
"17","653"
"18","770"
"19","902"
"20","624"
"21","771"
"22","506"
"","29232"
"23","941"
"24","709"
"25","709"
"26","639"
"27","742"
"28","326"
"29","668"
"30","810"
"31","745"
"32","662"
"33","810"
"34","591"
"35","773"
"36","695"
"37","685"
"38","656"
"39","681"
"40","706"
"41","429"
"42","221"
"43","501"
"44","543"
"","VOTERS"
"1","781"
"2","562"
"3","751"
"4","719"
"5","804"
"6","760"
"7","933"
"8","794"
"9","683"
"10","678"
"11","628"
"12","714"
"13","645"
"14","744"
"15","697"
"16","706"
"17","842"
"18","599"
"19","536"
"20","835"
"21","730"
"22","731"
"23","536"
"","32438"
"24","686"
"25","727"
"26","724"
"27","644"
"28","809"
"29","772"
"30","646"
"31","944"
"32","620"
"33","935"
"34","566"
"35","894"
"36","559"
"37","624"
"38","674"
"39","570"
"40","758"
"41","733"
"42","721"
"43","789"
"44","425"
"45","752"
"46","458"
"","VOTERS"
"1","1041"
"2","763"
"3","792"
"4","798"
"5","706"
"6","795"
"7","622"
"8","798"
"9","733"
"10","653"
"11","772"
"12","722"
"13","788"
"14","701"
"15","757"
"16","833"
"17","795"
"18","1183"
"19","729"
"20","848"
"21","807"
"","32142"
"22","811"
"23","774"
"24","791"
"25","931"
"26","778"
"27","778"
"28","650"
"29","962"
"30","773"
"31","850"
"32","811"
"33","818"
"34","852"
"35","550"
"36","649"
"37","741"
"38","638"
"39","749"
"40","832"
"41","768"
"","VOTERS"
"1","800"
"2","735"
"3","790"
"4","985"
"5","720"
"6","895"
"7","848"
"8","819"
"9","799"
"10","849"
"11","898"
"12","853"
"13","599"
"14","751"
"15","876"
"16","822"
"17","742"
"18","770"
"19","925"
"","30651"
"20","674"
"21","868"
"22","762"
"23","892"
"24","770"
"25","725"
"26","812"
"27","802"
"28","703"
"29","766"
"30","1055"
"31","652"
"32","834"
"33","827"
"34","704"
"35","968"
"36","849"
"37","729"
"38","783"
"","VOTERS"
"1","773"
"2","783"
"3","645"
"4","785"
"5","783"
"6","730"
"7","590"
"8","634"
"9","767"
"10","760"
"11","675"
"12","792"
"13","741"
"14","595"
"15","643"
"16","858"
"17","800"
"18","574"
"19","659"
"20","728"
"21","671"
"","29321"
"22","672"
"23","997"
"24","708"
"25","771"
"26","738"
"27","610"
"28","781"
"29","853"
"30","795"
"31","736"
"32","736"
"33","808"
"34","733"
"35","633"
"36","676"
"37","699"
"38","805"
"39","582"
"40","672"
"41","330"
"","VOTERS"
"1","702"
"2","699"
"3","654"
"4","638"
"5","765"
"6","661"
"7","707"
"8","653"
"9","820"
"10","663"
"11","752"
"12","765"
"13","585"
"14","759"
"15","924"
"16","694"
"17","704"
"18","684"
"19","691"
"20","662"
"21","666"
"22","683"
"23","711"
"24","638"
"","33658"
"25","685"
"26","770"
"27","693"
"28","674"
"29","669"
"30","784"
"31","660"
"32","697"
"33","720"
"34","671"
"35","631"
"36","661"
"37","658"
"38","693"
"39","791"
"40","662"
"41","699"
"42","816"
"43","712"
"44","771"
"45","708"
"46","561"
"47","657"
"48","735"
"","VOTERS"
"1","713"
"2","855"
"3","628"
"4","641"
"5","661"
"6","783"
"7","760"
"8","675"
"9","1012"
"10","706"
"11","783"
"12","735"
"13","517"
"14","766"
"15","736"
"16","751"
"17","699"
"18","743"
"19","694"
"20","678"
"21","750"
"22","716"
"23","653"
"","32415"
"24","736"
"25","779"
"26","565"
"27","640"
"28","620"
"29","661"
"30","719"
"31","595"
"32","761"
"33","749"
"34","776"
"35","748"
"36","776"
"37","724"
"38","661"
"39","663"
"40","649"
"41","731"
"42","670"
"43","703"
"44","720"
"45","843"
"46","271"
"","VOTERS"
"1","720"
"2","837"
"3","672"
"4","647"
"5","664"
"6","739"
"7","763"
"8","626"
"9","453"
"10","694"
"11","667"
"12","619"
"13","900"
"14","687"
"15","701"
"16","344"
"17","538"
"18","897"
"19","746"
"20","743"
"21","889"
"22","676"
"23","691"
"24","364"
"25","752"
"26","803"
"27","661"
"28","747"
"","37496"
"29","862"
"30","766"
"31","612"
"32","560"
"33","689"
"34","668"
"35","716"
"36","710"
"37","525"
"38","545"
"39","690"
"40","509"
"41","731"
"42","836"
"43","459"
"44","525"
"45","784"
"46","591"
"47","606"
"48","788"
"49","668"
"50","696"
"51","665"
"52","829"
"53","395"
"54","712"
"55","428"
"56","691"
"","VOTERS"
"1","763"
"2","672"
"3","825"
"4","606"
"5","707"
"6","697"
"7","648"
"8","864"
"9","760"
"10","688"
"11","637"
"12","743"
"13","707"
"14","767"
"15","1029"
"16","675"
"17","716"
"18","640"
"19","673"
"20","719"
"21","703"
"22","673"
"23","693"
"24","697"
"25","682"
"26","935"
"","36454"
"27","705"
"28","650"
"29","724"
"30","638"
"31","729"
"32","706"
"33","700"
"34","740"
"35","668"
"36","704"
"37","773"
"38","694"
"39","725"
"40","770"
"41","632"
"42","701"
"43","790"
"44","584"
"45","666"
"46","776"
"47","691"
"48","708"
"49","671"
"50","756"
"51","634"
"","VOTERS"
"1","688"
"2","660"
"3","709"
"4","827"
"5","673"
"6","608"
"7","630"
"8","620"
"9","691"
"10","685"
"11","923"
"12","498"
"13","884"
"14","897"
"15","1263"
"16","608"
"17","871"
"18","640"
"","25572"
"19","728"
"20","739"
"21","814"
"22","549"
"23","692"
"24","649"
"25","270"
"26","758"
"27","1032"
"28","839"
"29","736"
"30","742"
"31","711"
"32","735"
"33","583"
"34","675"
"35","747"
"36","198"
"","VOTERS"
"1","772"
"2","894"
"3","631"
"4","741"
"5","1006"
"6","835"
"7","704"
"8","787"
"9","820"
"10","833"
"11","832"
"12","962"
"13","943"
"14","505"
"15","352"
"16","694"
"17","748"
"18","713"
"19","941"
"","25470"
"20","572"
"21","813"
"22","961"
"23","422"
"24","740"
"25","646"
"26","838"
"27","455"
"28","455"
"29","774"
"30","594"
"31","704"
"32","349"
"33","737"
"34","302"
"35","246"
"36","449"
"37","331"
"38","369"
"","VOTERS"
"1","662"
"2","681"
"3","765"
"4","676"
"5","740"
"6","815"
"7","789"
"8","819"
"9","651"
"10","815"
"11","811"
"12","806"
"","17930"
"13","823"
"14","786"
"15","846"
"16","809"
"17","847"
"18","845"
"19","733"
"20","849"
"21","785"
"22","862"
"23","715"
"","VOTERS"
"1","445"
"2","436"
"3","429"
"4","580"
"5","616"
"6","467"
"7","472"
"8","396"
"9","562"
"10","477"
"11","558"
"12","519"
"13","511"
"14","512"
"15","741"
"16","399"
"17","473"
"18","444"
"19","618"
"20","366"
"21","576"
"22","565"
"23","436"
"24","464"
"","23932"
"25","558"
"26","523"
"27","475"
"28","440"
"29","412"
"30","377"
"31","587"
"32","484"
"33","461"
"34","520"
"35","433"
"36","317"
"37","571"
"38","435"
"39","511"
"40","429"
"41","551"
"42","517"
"43","493"
"44","573"
"45","553"
"46","632"
"47","583"
"48","435"
"","VOTERS"
"1","666"
"2","840"
"3","646"
"4","584"
"5","913"
"6","303"
"7","763"
"8","750"
"9","699"
"10","488"
"11","377"
"12","642"
"13","484"
"14","598"
"15","667"
"16","531"
"","17822"
"17","538"
"18","268"
"19","611"
"20","498"
"21","608"
"22","820"
"23","519"
"24","680"
"25","432"
"26","490"
"27","615"
"28","512"
"29","549"
"30","373"
"31","358"
"","VOTERS"
"1","768"
"2","658"
"3","663"
"4","788"
"5","816"
"6","849"
"7","743"
"8","729"
"9","901"
"10","875"
"11","845"
"12","787"
"","18233"
"13","811"
"14","776"
"15","742"
"16","766"
"17","646"
"18","720"
"19","708"
"20","755"
"21","613"
"22","769"
"23","774"
"24","731"
"","VOTERS"
"1","776"
"2","746"
"3","712"
"4","744"
"5","742"
"6","724"
"7","708"
"8","633"
"9","781"
"10","715"
"11","725"
"12","729"
"13","777"
"14","688"
"15","756"
"16","688"
"17","787"
"18","751"
"","26071"
"19","729"
"20","692"
"21","750"
"22","773"
"23","751"
"24","454"
"25","760"
"26","688"
"27","691"
"28","738"
"29","760"
"30","733"
"31","724"
"32","758"
"33","751"
"34","742"
"35","796"
"36","599"
"","VOTERS"
"1","665"
"2","802"
"3","827"
"4","840"
"5","685"
"6","768"
"7","748"
"8","808"
"9","782"
"10","784"
"11","699"
"12","858"
"13","716"
"14","762"
"15","828"
"16","775"
"17","770"
"18","731"
"19","674"
"20","740"
"21","745"
"","30599"
"22","729"
"23","633"
"24","789"
"25","682"
"26","835"
"27","785"
"28","691"
"29","770"
"30","634"
"31","696"
"32","723"
"33","684"
"34","719"
"35","715"
"36","729"
"37","684"
"38","899"
"39","708"
"40","728"
"41","759"
"","VOTERS"
"1","609"
"2","651"
"3","580"
"4","631"
"5","596"
"6","529"
"7","678"
"8","645"
"9","573"
"10","723"
"11","575"
"12","594"
"13","667"
"14","655"
"15","734"
"16","636"
"17","666"
"18","608"
"19","647"
"20","611"
"21","720"
"22","697"
"23","643"
"24","632"
"25","613"
"","31783"
"26","666"
"27","639"
"28","602"
"29","664"
"30","663"
"31","627"
"32","663"
"33","588"
"34","677"
"35","646"
"36","661"
"37","667"
"38","633"
"39","627"
"40","649"
"41","693"
"42","669"
"43","538"
"44","589"
"45","689"
"46","675"
"47","575"
"48","600"
"49","546"
"50","624"
"","VOTERS"
"1","543"
"2","751"
"3","495"
"4","700"
"5","616"
"6","636"
"7","581"
"8","691"
"9","432"
"10","684"
"11","645"
"12","532"
"13","712"
"14","684"
"15","833"
"16","640"
"17","544"
"18","533"
"19","718"
"20","580"
