"collection1"
"Pct","Voters"
"","VOTERS"
"1","681"
"2","601"
"3","798"
"4","738"
"5","754"
"6","708"
"7","674"
"8","690"
"9","716"
"10","733"
"11","777"
"12","819"
"13","747"
"14","704"
"15","659"
"16","844"
"17","604"
"18","691"
"19","852"
"20","613"
"","28363"
"21","803"
"22","469"
"23","846"
"24","685"
"25","681"
"26","588"
"27","732"
"28","625"
"29","667"
"30","726"
"31","701"
"32","689"
"33","764"
"34","750"
"35","755"
"36","704"
"37","712"
"38","687"
"39","679"
"40","697"
"","VOTERS"
"1","765"
"2","593"
"3","750"
"4","721"
"5","791"
"6","733"
"7","760"
"8","806"
"9","730"
"10","709"
"11","613"
"12","686"
"13","690"
"14","731"
"15","730"
"16","690"
"17","826"
"18","597"
"19","546"
"20","749"
"21","742"
"22","710"
"23","569"
"","32401"
"24","706"
"25","742"
"26","740"
"27","695"
"28","809"
"29","778"
"30","657"
"31","904"
"32","622"
"33","966"
"34","547"
"35","793"
"36","578"
"37","623"
"38","694"
"39","570"
"40","764"
"41","749"
"42","814"
"43","753"
"44","439"
"45","765"
"46","456"
"","VOTERS"
"1","868"
"2","686"
"3","751"
"4","767"
"5","679"
"6","763"
"7","654"
"8","651"
"9","708"
"10","663"
"11","736"
"12","726"
"13","730"
"14","677"
"15","725"
"16","743"
"17","631"
"18","937"
"19","680"
"20","749"
"21","804"
"","29737"
"22","776"
"23","721"
"24","692"
"25","826"
"26","782"
"27","650"
"28","640"
"29","776"
"30","721"
"31","746"
"32","704"
"33","780"
"34","790"
"35","533"
"36","677"
"37","731"
"38","642"
"39","693"
"40","812"
"41","717"
"","VOTERS"
"1","842"
"2","771"
"3","713"
"4","782"
"5","656"
"6","812"
"7","760"
"8","765"
"9","734"
"10","775"
"11","831"
"12","792"
"13","590"
"14","771"
"15","745"
"16","748"
"17","741"
"18","711"
"19","831"
"","28913"
"20","693"
"21","806"
"22","768"
"23","865"
"24","772"
"25","694"
"26","735"
"27","764"
"28","757"
"29","651"
"30","919"
"31","652"
"32","734"
"33","791"
"34","671"
"35","916"
"36","840"
"37","727"
"38","788"
"","VOTERS"
"1","695"
"2","727"
"3","612"
"4","796"
"5","699"
"6","614"
"7","602"
"8","639"
"9","720"
