"Elec"
"Emanuel","Emanuel_Pct","Pct","Votes Cast","Wilson","Wilson_Pct","property10","property7","property8","property9"
"","%","","Votes Cast","","%","%","","%",""
"423","85.98%","1","492","48","9.76%","3.05%","6","1.22%","15"
"388","90.23%","2","430","30","6.98%","2.09%","3","0.70%","9"
"507","81.25%","3","624","95","15.22%","1.44%","13","2.08%","9"
"439","77.70%","4","565","110","19.47%","1.59%","7","1.24%","9"
"477","82.10%","5","581","86","14.80%","0.86%","13","2.24%","5"
"412","77.44%","6","532","98","18.42%","2.26%","10","1.88%","12"
"412","84.60%","7","487","50","10.27%","2.87%","11","2.26%","14"
"415","83.67%","8","496","66","13.31%","1.81%","6","1.21%","9"
"446","82.29%","9","542","75","13.84%","2.03%","10","1.85%","11"
"440","78.29%","10","562","102","18.15%","1.78%","10","1.78%","10"
"505","80.03%","11","631","109","17.27%","1.58%","7","1.11%","10"
"436","73.52%","12","593","133","22.43%","1.85%","13","2.19%","11"
"440","85.60%","13","514","59","11.48%","1.56%","7","1.36%","8"
"473","83.42%","14","567","78","13.76%","1.41%","8","1.41%","8"
"407","84.27%","15","483","59","12.22%","2.48%","5","1.04%","12"
"544","89.03%","16","611","44","7.20%","2.78%","6","0.98%","17"
"389","89.63%","17","434","30","6.91%","1.61%","8","1.84%","7"
"436","90.27%","18","483","32","6.63%","1.45%","8","1.66%","7"
"503","83.83%","19","600","68","11.33%","2.67%","13","2.17%","16"
"375","86.01%","20","436","42","9.63%","1.83%","11","2.52%","8"
"","%","","Votes Cast","","%","%","","%",""
"480","77.17%","21","622","118","18.97%","1.61%","14","2.25%","10"
"277","90.52%","22","306","23","7.52%","0.33%","5","1.63%","1"
"566","83.36%","23","679","76","11.19%","2.21%","22","3.24%","15"
"416","91.83%","24","453","20","4.42%","2.43%","6","1.32%","11"
"416","87.58%","25","475","43","9.05%","1.68%","8","1.68%","8"
"301","93.48%","26","322","16","4.97%","0.93%","2","0.62%","3"
"408","79.69%","27","512","89","17.38%","1.76%","6","1.17%","9"
"421","90.73%","28","464","33","7.11%","1.72%","2","0.43%","8"
"411","80.91%","29","508","87","17.13%","1.18%","4","0.79%","6"
"402","86.08%","30","467","50","10.71%","2.36%","4","0.86%","11"
"424","85.83%","31","494","57","11.54%","1.21%","7","1.42%","6"
"382","79.09%","32","483","88","18.22%","1.66%","5","1.04%","8"
"17167","83.04%","","","2777","13.43%","1.89%","338","1.64%","390"
"420","79.55%","33","528","88","16.67%","2.08%","9","1.70%","11"
"457","84.16%","34","543","55","10.13%","4.05%","9","1.66%","22"
"420","78.95%","35","532","92","17.29%","2.44%","7","1.32%","13"
"453","76.01%","36","596","121","20.30%","1.68%","12","2.01%","10"
"398","73.16%","37","544","120","22.06%","1.65%","17","3.13%","9"
"439","84.10%","38","522","62","11.88%","1.72%","12","2.30%","9"
"379","85.94%","39","441","54","12.24%","0.45%","6","1.36%","2"
"430","83.01%","40","518","71","13.71%","2.12%","6","1.16%","11"
"","%","","Votes Cast","","%","%","","%",""
"444","79.29%","1","560","90","16.07%","1.43%","18","3.21%","8"
"342","68.81%","2","497","148","29.78%","0.20%","6","1.21%","1"
"511","80.98%","3","631","99","15.69%","1.74%","10","1.58%","11"
"437","79.74%","4","548","86","15.69%","1.64%","16","2.92%","9"
"502","80.06%","5","627","98","15.63%","1.91%","15","2.39%","12"
"442","78.23%","6","565","106","18.76%","1.06%","11","1.95%","6"
"447","80.11%","7","558","98","17.56%","0.54%","10","1.79%","3"
"478","78.49%","8","609","112","18.39%","1.64%","9","1.48%","10"
"363","60.30%","9","602","228","37.87%","0.50%","8","1.33%","3"
"333","58.52%","10","569","227","39.89%","0.70%","5","0.88%","4"
"315","58.66%","11","537","216","40.22%","0.19%","5","0.93%","1"
"443","77.18%","12","574","117","20.38%","0.70%","10","1.74%","4"
"436","67.60%","13","645","200","31.01%","0.16%","8","1.24%","1"
"443","77.86%","14","569","108","18.98%","1.93%","7","1.23%","11"
"439","79.82%","15","550","86","15.64%","1.45%","17","3.09%","8"
"420","80.77%","16","520","85","16.35%","0.58%","12","2.31%","3"
"474","75.72%","17","626","124","19.81%","2.40%","13","2.08%","15"
"326","64.05%","18","509","179","35.17%","0.59%","1","0.20%","3"
"295","61.97%","19","476","178","37.39%","0.00%","3","0.63%","0"
"385","65.70%","20","586","192","32.76%","0.68%","5","0.85%","4"
"473","82.84%","21","571","83","14.54%","1.23%","8","1.40%","7"
"348","59.08%","22","589","225","38.20%","1.19%","9","1.53%","7"
"276","58.60%","23","471","194","41.19%","0.21%","0","0.00%","1"
"","%","","Votes Cast","","%","%","","%",""
"376","68.74%","24","547","161","29.43%","0.37%","8","1.46%","2"
"467","78.22%","25","597","107","17.92%","1.51%","14","2.35%","9"
"399","71.38%","26","559","154","27.55%","0.00%","6","1.07%","0"
"362","61.56%","27","588","214","36.39%","0.51%","9","1.53%","3"
"440","63.49%","28","693","239","34.49%","0.43%","11","1.59%","3"
"422","64.23%","29","657","223","33.94%","0.76%","7","1.07%","5"
"353","64.65%","30","546","182","33.33%","0.37%","9","1.65%","2"
"484","64.71%","31","748","254","33.96%","0.13%","9","1.20%","1"
"314","61.57%","32","510","184","36.08%","0.39%","10","1.96%","2"
"562","64.08%","33","877","306","34.89%","0.23%","7","0.80%","2"
"278","60.17%","34","462","180","38.96%","0.22%","3","0.65%","1"
"414","63.89%","35","648","220","33.95%","0.77%","9","1.39%","5"
"298","61.19%","36","487","178","36.55%","0.41%","9","1.85%","2"
"407","70.66%","37","576","161","27.95%","0.00%","8","1.39%","0"
"18179","68.39%","","","7814","29.39%","0.75%","391","1.47%","199"
"350","58.14%","38","602","240","39.87%","0.33%","10","1.66%","2"
"210","50.00%","39","420","203","48.33%","0.48%","5","1.19%","2"
"473","65.33%","40","724","232","32.04%","0.97%","12","1.66%","7"
"296","53.33%","41","555","246","44.32%","0.54%","10","1.80%","3"
"496","69.96%","42","709","199","28.07%","0.85%","8","1.13%","6"
"420","61.76%","43","680","254","37.35%","0.15%","5","0.74%","1"
"258","63.70%","44","405","143","35.31%","0.25%","3","0.74%","1"
"491","76.60%","45","641","139","21.68%","0.78%","6","0.94%","5"
"237","65.29%","46","363","116","31.96%","0.83%","7","1.93%","3"
"","%","","Votes Cast","","%","%","","%",""
"730","98.78%","1","739","6","0.81%","0.14%","2","0.27%","1"
"621","98.42%","2","631","9","1.43%","0.16%","0","0.00%","1"
"629","93.60%","3","672","41","6.10%","0.30%","0","0.00%","2"
"637","98.61%","4","646","7","1.08%","0.15%","1","0.15%","1"
"487","99.59%","5","489","1","0.20%","0.20%","0","0.00%","1"
"481","70.63%","6","681","189","27.75%","0.44%","8","1.17%","3"
"535","98.53%","7","543","7","1.29%","0.18%","0","0.00%","1"
"550","98.57%","8","558","5","0.90%","0.54%","0","0.00%","3"
"589","98.33%","9","599","6","1.00%","0.17%","3","0.50%","1"
"418","99.05%","10","422","2","0.47%","0.00%","2","0.47%","0"
"649","99.39%","11","653","3","0.46%","0.15%","0","0.00%","1"
"604","98.53%","12","613","8","1.31%","0.16%","0","0.00%","1"
"517","77.16%","13","670","142","21.19%","0.75%","6","0.90%","5"
"487","82.82%","14","588","90","15.31%","0.85%","6","1.02%","5"
"604","99.02%","15","610","4","0.66%","0.16%","1","0.16%","1"
"578","99.31%","16","582","2","0.34%","0.34%","0","0.00%","2"
"475","88.13%","17","539","56","10.39%","0.56%","5","0.93%","3"
"826","97.52%","18","847","18","2.13%","0.00%","3","0.35%","0"
"410","71.30%","19","575","159","27.65%","0.00%","6","1.04%","0"
"544","99.27%","20","548","3","0.55%","0.18%","0","0.00%","1"
"544","79.18%","21","687","139","20.23%","0.15%","3","0.44%","1"
"","%","","Votes Cast","","%","%","","%",""
"481","72.99%","22","659","161","24.43%","1.52%","7","1.06%","10"
"600","97.56%","23","615","14","2.28%","0.16%","0","0.00%","1"
"627","98.43%","24","637","5","0.78%","0.16%","4","0.63%","1"
"487","67.83%","25","718","225","31.34%","0.14%","5","0.70%","1"
"500","75.08%","26","666","158","23.72%","0.45%","5","0.75%","3"
"398","70.44%","27","565","154","27.26%","1.06%","7","1.24%","6"
"455","99.13%","28","459","4","0.87%","0.00%","0","0.00%","0"
"618","98.72%","29","626","5","0.80%","0.16%","2","0.32%","1"
"612","98.71%","30","620","2","0.32%","0.48%","3","0.48%","3"
"647","99.23%","31","652","4","0.61%","0.00%","1","0.15%","0"
"529","82.53%","32","641","104","16.22%","0.62%","4","0.62%","4"
"521","77.76%","33","670","134","20.00%","0.15%","14","2.09%","1"
"22343","90.13%","","","2245","9.06%","0.32%","123","0.50%","80"
"551","80.79%","34","682","122","17.89%","0.44%","6","0.88%","3"
"334","98.53%","35","339","1","0.29%","0.59%","2","0.59%","2"
"422","98.83%","36","427","5","1.17%","0.00%","0","0.00%","0"
"603","99.01%","37","609","5","0.82%","0.16%","0","0.00%","1"
"516","98.66%","38","523","7","1.34%","0.00%","0","0.00%","0"
"450","74.88%","39","601","140","23.29%","0.83%","6","1.00%","5"
"637","91.00%","40","700","60","8.57%","0.29%","1","0.14%","2"
"440","89.80%","41","490","38","7.76%","0.41%","10","2.04%","2"
"","%","","Votes Cast","","%","%","","%",""
"688","89.58%","1","768","57","7.42%","2.34%","5","0.65%","18"
"509","75.07%","2","678","152","22.42%","0.59%","13","1.92%","4"
"576","99.48%","3","579","2","0.35%","0.17%","0","0.00%","1"
"679","98.26%","4","691","10","1.45%","0.00%","2","0.29%","0"
"564","97.58%","5","578","11","1.90%","0.35%","1","0.17%","2"
"695","95.34%","6","729","32","4.39%","0.27%","0","0.00%","2"
"625","97.96%","7","638","12","1.88%","0.16%","0","0.00%","1"
"691","99.14%","8","697","3","0.43%","0.29%","1","0.14%","2"
"674","98.54%","9","684","8","1.17%","0.29%","0","0.00%","2"
"676","97.69%","10","692","9","1.30%","0.72%","2","0.29%","5"
"676","98.11%","11","689","10","1.45%","0.29%","1","0.15%","2"
"685","99.42%","12","689","1","0.15%","0.29%","1","0.15%","2"
"416","81.41%","13","511","81","15.85%","0.78%","10","1.96%","4"
"641","98.31%","14","652","6","0.92%","0.15%","4","0.61%","1"
"666","97.80%","15","681","13","1.91%","0.00%","2","0.29%","0"
"502","76.99%","16","652","135","20.71%","0.46%","12","1.84%","3"
"592","82.91%","17","714","97","13.59%","1.68%","13","1.82%","12"
"590","99.33%","18","594","3","0.51%","0.00%","1","0.17%","0"
"740","99.60%","19","743","3","0.40%","0.00%","0","0.00%","0"
"","%","","Votes Cast","","%","%","","%",""
"473","82.84%","20","571","76","13.31%","1.23%","15","2.63%","7"
"648","83.40%","21","777","101","13.00%","1.29%","18","2.32%","10"
"597","94.61%","22","631","30","4.75%","0.63%","0","0.00%","4"
"732","92.08%","23","795","48","6.04%","1.51%","3","0.38%","12"
"597","94.46%","24","632","33","5.22%","0.32%","0","0.00%","2"
"460","74.31%","25","619","147","23.75%","0.16%","11","1.78%","1"
"623","98.42%","26","633","9","1.42%","0.00%","1","0.16%","0"
"618","94.79%","27","652","22","3.37%","0.92%","6","0.92%","6"
"706","96.71%","28","730","19","2.60%","0.27%","3","0.41%","2"
"585","99.49%","29","588","2","0.34%","0.17%","0","0.00%","1"
"807","99.51%","30","811","3","0.37%","0.12%","0","0.00%","1"
"571","95.64%","31","597","23","3.85%","0.17%","2","0.34%","1"
"23910","93.65%","","","1353","5.30%","0.47%","146","0.57%","121"
"628","98.28%","32","639","10","1.56%","0.00%","1","0.16%","0"
"674","96.42%","33","699","24","3.43%","0.14%","0","0.00%","1"
"640","97.56%","34","656","7","1.07%","0.46%","6","0.91%","3"
"792","97.42%","35","813","20","2.46%","0.12%","0","0.00%","1"
"707","98.33%","36","719","9","1.25%","0.14%","2","0.28%","1"
"474","77.96%","37","608","119","19.57%","0.99%","9","1.48%","6"
"693","98.86%","38","701","6","0.86%","0.14%","1","0.14%","1"
"","%","","Votes Cast","","%","%","","%",""
"559","99.47%","1","562","2","0.36%","0.00%","1","0.18%","0"
"549","98.21%","2","559","7","1.25%","0.36%","1","0.18%","2"
"500","91.74%","3","545","23","4.22%","3.49%","3","0.55%","19"
"627","96.17%","4","652","13","1.99%","1.38%","3","0.46%","9"
"636","98.91%","5","643","3","0.47%","0.47%","1","0.16%","3"
"466","98.94%","6","471","4","0.85%","0.21%","0","0.00%","1"
"530","90.44%","7","586","52","8.87%","0.51%","1","0.17%","3"
"486","88.04%","8","552","53","9.60%","1.45%","5","0.91%","8"
"598","95.83%","9","624","12","1.92%","1.76%","3","0.48%","11"
"610","99.51%","10","613","1","0.16%","0.16%","1","0.16%","1"
"519","90.73%","11","572","36","6.29%","1.75%","7","1.22%","10"
"526","98.69%","12","533","6","1.13%","0.19%","0","0.00%","1"
"599","99.34%","13","603","4","0.66%","0.00%","0","0.00%","0"
"474","98.54%","14","481","6","1.25%","0.00%","1","0.21%","0"
"515","95.55%","15","539","17","3.15%","1.11%","1","0.19%","6"
"598","99.17%","16","603","4","0.66%","0.00%","1","0.17%","0"
"597","99.83%","17","598","1","0.17%","0.00%","0","0.00%","0"
"464","95.67%","18","485","13","2.68%","1.03%","3","0.62%","5"
"478","88.68%","19","539","45","8.35%","2.60%","2","0.37%","14"
"609","94.71%","20","643","24","3.73%","0.93%","4","0.62%","6"
"","%","","Votes Cast","","%","%","","%",""
"475","90.30%","21","526","28","5.32%","2.85%","8","1.52%","15"
"550","92.59%","22","594","42","7.07%","0.34%","0","0.00%","2"
"686","89.79%","23","764","59","7.72%","1.96%","4","0.52%","15"
"535","93.04%","24","575","26","4.52%","1.39%","6","1.04%","8"
"550","99.46%","25","553","2","0.36%","0.00%","1","0.18%","0"
"605","98.86%","26","612","5","0.82%","0.16%","1","0.16%","1"
"471","85.48%","27","551","61","11.07%","2.00%","8","1.45%","11"
"592","98.01%","28","604","9","1.49%","0.50%","0","0.00%","3"
"713","98.07%","29","727","10","1.38%","0.28%","2","0.28%","2"
"602","99.01%","30","608","5","0.82%","0.00%","1","0.16%","0"
"564","99.65%","31","566","2","0.35%","0.00%","0","0.00%","0"
"609","96.82%","32","629","17","2.70%","0.32%","1","0.16%","2"
"22717","95.39%","","","792","3.33%","0.84%","107","0.45%","199"
"627","99.52%","33","630","2","0.32%","0.16%","0","0.00%","1"
"562","88.09%","34","638","57","8.93%","1.88%","7","1.10%","12"
"530","90.60%","35","585","41","7.01%","1.20%","7","1.20%","7"
"579","97.97%","36","591","10","1.69%","0.00%","2","0.34%","0"
"809","92.35%","37","876","48","5.48%","1.14%","9","1.03%","10"
"672","99.41%","38","676","2","0.30%","0.15%","1","0.15%","1"
"439","88.51%","39","496","38","7.66%","1.81%","10","2.02%","9"
"607","99.35%","40","611","2","0.33%","0.16%","1","0.16%","1"
"","%","","Votes Cast","","%","%","","%",""
"576","99.14%","1","581","5","0.86%","0.00%","0","0.00%","0"
"544","99.63%","2","546","1","0.18%","0.18%","0","0.00%","1"
"577","99.31%","3","581","3","0.52%","0.00%","1","0.17%","0"
"516","99.81%","4","517","0","0.00%","0.00%","1","0.19%","0"
"490","99.80%","5","491","1","0.20%","0.00%","0","0.00%","0"
"530","99.07%","6","535","4","0.75%","0.00%","1","0.19%","0"
"552","99.64%","7","554","1","0.18%","0.18%","0","0.00%","1"
"545","99.27%","8","549","2","0.36%","0.18%","1","0.18%","1"
"625","98.89%","9","632","6","0.95%","0.00%","1","0.16%","0"
