PRECINCT,WARD,FULL_TEXT,SHAPE_AREA,SHAPE_LEN
12,39,39012,2402919.96169999986887,8750.363602429999446
39,39,39039,8055745.598129999823868,12090.673021399999925
1,40,40001,1756461.722109999973327,6868.846768499999598
2,40,40002,1999751.968839999986812,7439.578461680000146
5,40,40005,1999124.114770000101998,7366.565254570000434
6,40,40006,1238133.908199999947101,5314.832646939999904
14,50,50014,664019.577159999986179,3258.936971850000191
9,40,40009,1121428.610989999957383,4359.3801832500003
10,40,40010,2387612.497789999935776,6596.305646419999903
14,40,40014,1620564.175280000083148,5534.755732139999964
15,40,40015,1996499.608999999938533,5994.726763720000235
17,40,40017,4025786.317420000210404,9195.707251949999772
18,40,40018,2626016.959129999857396,6632.197797030000402
19,40,40019,1957203.590730000054464,5918.122671189999892
11,40,40011,1378193.334079999942333,4725.694155479999608
20,40,40020,1819123.910960000008345,5805.215943109999898
21,40,40021,1890806.327060000039637,6093.579375260000234
22,40,40022,2223436.7700299997814,9295.232388469999933
23,40,40023,1650777.590610000072047,6378.05425447000016
24,40,40024,2277514.716159999836236,7572.60440004999964
27,40,40027,1998714.69059000001289,6238.651923680000436
28,40,40028,2082414.32859000004828,6420.220438110000032
29,40,40029,4968527.21915000025183,9140.947363920000498
30,40,40030,3021223.93728999979794,7306.836239209999803
31,40,40031,1739773.583980000112206,6083.720181400000001
32,40,40032,17610579.805100001394749,20523.429508900000656
33,40,40033,1718580.203200000105426,6651.109586530000342
34,40,40034,4717196.145849999971688,11184.037498100000448
36,40,40036,1381965.538789999904111,4811.490840679999565
37,40,40037,2028534.746449999976903,5999.445616320000227
35,40,40035,3213971.167109999805689,8244.170216549999168
26,40,40026,1459431.052200000034645,5324.572144069999922
3,40,40003,1555791.478820000076666,5428.243005680000351
8,40,40008,1449919.867300000041723,6108.415739879999819
7,40,40007,1469296.457480000099167,5195.579705219999596
12,40,40012,1185836.130459999898449,4880.414819810000154
13,40,40013,2712408.458690000232309,7752.891673230000379
16,40,40016,1734316.404439999954775,6211.573126870000124
25,40,40025,1669190.639449999900535,5573.446735149999768
38,40,40038,1747570.676140000112355,5731.604182729999593
4,40,40004,1729055.386299999896437,5257.667356969999673
39,40,40039,874152.006656000041403,3955.991552789999787
3,42,42003,1235551.647369999904186,5422.949741749999703
1,42,42001,417536.181597999995574,3126.824221610000222
2,42,42002,404299.539364000025671,2550.483575360000032
6,42,42006,252022.659523000009358,2128.490159819999917
9,42,42009,7494777.115090000443161,12087.68271839999943
8,44,44008,497304.519336999976076,3381.155589089999921
11,42,42011,5411932.104179999791086,17295.420831100000214
12,42,42012,831441.797449999954551,5809.508191130000341
13,42,42013,196336.07249099999899,1875.479837710000083
14,42,42014,1377871.017380000092089,5001.855609209999784
15,42,42015,1655360.535339999943972,5887.367736909999621
18,42,42018,1039617.362199999974109,5655.455134429999816
19,42,42019,909527.528109999955632,4705.561958059999597
21,42,42021,1478272.888730000006035,5412.799336949999997
22,42,42022,938891.686828000005335,3898.80392054999993
24,42,42024,425112.648671999981161,4491.663145739999891
27,42,42027,262451.678475999971852,2109.460207539999828
31,42,42031,1267147.288179999915883,5380.730213969999568
35,42,42035,1554175.082769999979064,5040.691729999999552
34,42,42034,702270.896745000034571,3498.117837480000162
26,42,42026,1516126.324960000114515,6251.782298670000273
25,42,42025,1530090.259659999981523,5648.965266369999881
11,46,46011,902795.910991000011563,4038.680160720000003
33,42,42033,12153930.271199999377131,18581.275037100000191
32,42,42032,1918134.52546999999322,5984.740193890000228
30,42,42030,403461.195084000006318,3256.705057010000019
29,42,42029,1055234.086320000002161,4167.904213920000075
28,42,42028,135418.814153999992413,1726.025432149999915
23,42,42023,658957.533867000020109,4021.675545890000194
20,42,42020,740337.844469000003301,4004.563525909999953
17,42,42017,1848371.013180000009015,6703.559370189999754
16,42,42016,2145104.184900000225753,6186.09134000999984
8,42,42008,1287477.061479999916628,4752.165513040000405
7,42,42007,305763.258024999988265,2694.946299270000054
4,42,42004,732926.102175000007264,3443.992254520000188
5,42,42005,363817.349480999982916,2727.875664109999889
36,42,42036,1593647.054410000098869,5794.386616290000347
37,42,42037,509672.107600999996066,3476.099725359999866
10,42,42010,2766467.840230000205338,7122.558143919999566
38,42,42038,516635.786255999992136,3068.567283270000189
39,42,42039,2011508.169840000104159,7215.516829209999742
6,44,44006,1291881.857390000019222,4923.385151059999771
40,42,42040,1650009.153459999943152,6709.144298299999718
41,42,42041,2501691.322550000157207,7114.82974871999977
42,42,42042,2232676.804310000035912,9550.619524820000152
1,44,44001,463848.394998000003397,3405.585935099999915
7,44,44007,2406257.695660000201315,6929.332665959999758
3,44,44003,3759957.310020000208169,20326.806812800001353
4,44,44004,342329.974701999977697,2596.050024220000068
5,44,44005,549137.152861000038683,3472.081873959999939
9,44,44009,1511470.388130000093952,5649.089101020000271
10,44,44010,1125355.529540000017732,4646.305739569999787
11,44,44011,1289342.646380000049248,5300.655990629999906
12,44,44012,478735.030276999983471,3348.706254759999865
