"collection1"
"Pct","Voters"
"","VOTERS"
"1","753"
"2","706"
"3","811"
"4","790"
"5","784"
"6","748"
"7","462"
"8","716"
"9","543"
"10","797"
"11","755"
"12","877"
"13","346"
"14","713"
"15","685"
"16","546"
"17","676"
"18","779"
"19","911"
"20","638"
"21","783"
"22","513"
"","29907"
"23","962"
"24","725"
"25","730"
"26","644"
"27","765"
"28","330"
"29","684"
"30","828"
"31","764"
"32","686"
"33","820"
"34","609"
"35","797"
"36","708"
"37","697"
"38","676"
"39","694"
"40","719"
"41","444"
"42","228"
"43","507"
"44","558"
"","VOTERS"
"1","798"
"2","568"
"3","764"
"4","726"
"5","824"
"6","782"
"7","951"
"8","816"
"9","700"
"10","686"
"11","637"
"12","725"
"13","648"
"14","754"
"15","715"
"16","722"
"17","860"
"18","606"
"19","547"
"20","874"
"21","745"
"22","749"
"23","543"
"","33066"
"24","708"
"25","745"
"26","731"
"27","653"
"28","811"
"29","789"
"30","657"
"31","954"
"32","632"
"33","952"
"34","574"
"35","913"
"36","573"
"37","626"
"38","683"
"39","579"
"40","775"
"41","755"
"42","745"
"43","805"
"44","430"
"45","774"
"46","462"
"","VOTERS"
"1","1061"
"2","772"
"3","809"
"4","806"
"5","711"
"6","820"
"7","625"
"8","811"
"9","743"
"10","657"
"11","789"
"12","733"
"13","792"
"14","710"
"15","765"
"16","843"
"17","822"
"18","1207"
"19","743"
"20","862"
"21","814"
"","32680"
"22","841"
"23","785"
"24","795"
"25","958"
"26","788"
"27","794"
"28","661"
"29","972"
"30","788"
"31","873"
"32","820"
"33","836"
"34","860"
"35","566"
"36","657"
"37","751"
"38","650"
"39","781"
"40","840"
"41","769"
"","VOTERS"
"1","819"
"2","763"
"3","809"
"4","1005"
"5","742"
"6","904"
"7","852"
"8","830"
"9","810"
"10","857"
"11","898"
"12","870"
"13","613"
"14","767"
"15","899"
"16","840"
"17","754"
"18","781"
"19","935"
"","31155"
"20","675"
"21","882"
"22","778"
"23","916"
"24","778"
"25","730"
"26","829"
"27","813"
"28","704"
"29","782"
"30","1087"
"31","661"
"32","851"
"33","836"
"34","710"
"35","983"
"36","857"
"37","747"
"38","788"
"","VOTERS"
"1","785"
"2","794"
"3","663"
"4","799"
"5","792"
"6","732"
"7","609"
"8","648"
"9","782"
"10","766"
"11","679"
"12","800"
"13","742"
"14","600"
"15","657"
"16","872"
"17","816"
"18","587"
"19","668"
"20","742"
"21","677"
"","29778"
"22","678"
"23","1010"
"24","728"
"25","772"
"26","757"
"27","624"
"28","790"
"29","871"
"30","801"
"31","744"
"32","752"
"33","825"
"34","748"
"35","651"
"36","684"
"37","708"
"38","825"
"39","585"
"40","684"
"41","331"
"","VOTERS"
"1","709"
"2","702"
"3","661"
"4","646"
"5","776"
"6","665"
"7","725"
"8","657"
"9","835"
"10","677"
"11","759"
"12","773"
"13","597"
"14","769"
"15","932"
"16","701"
"17","713"
"18","677"
"19","697"
"20","676"
"21","670"
"22","687"
"23","708"
"24","637"
"","33994"
"25","692"
"26","785"
"27","693"
"28","680"
"29","679"
"30","794"
"31","664"
"32","700"
"33","731"
"34","676"
"35","638"
"36","667"
"37","656"
"38","704"
"39","802"
"40","665"
"41","705"
"42","816"
"43","717"
"44","785"
"45","713"
"46","569"
"47","669"
"48","745"
"","VOTERS"
"1","721"
"2","877"
"3","628"
"4","645"
"5","674"
"6","798"
"7","782"
"8","692"
"9","1024"
"10","712"
"11","788"
"12","754"
"13","522"
"14","778"
"15","738"
"16","771"
"17","711"
"18","747"
"19","708"
"20","681"
"21","758"
