"Elec"
"Emanuel","Emanuel_Pct","Pct","Votes Cast","Wilson","Wilson_Pct"
"","%","","Votes Cast","","%"
"93","35.91%","1","259","166","64.09%"
"75","29.53%","2","254","179","70.47%"
"149","55.39%","3","269","120","44.61%"
"145","52.35%","4","277","132","47.65%"
"144","66.36%","5","217","73","33.64%"
"144","49.66%","6","290","146","50.34%"
"79","42.47%","7","186","107","57.53%"
"158","58.74%","8","269","111","41.26%"
"106","40.15%","9","264","158","59.85%"
"138","61.06%","10","226","88","38.94%"
"149","58.89%","11","253","104","41.11%"
"139","46.33%","12","300","161","53.67%"
"40","33.06%","13","121","81","66.94%"
"147","54.44%","14","270","123","45.56%"
"85","33.20%","15","256","171","66.80%"
"64","28.07%","16","228","164","71.93%"
"83","33.07%","17","251","168","66.93%"
"104","35.99%","18","289","185","64.01%"
"126","32.47%","19","388","262","67.53%"
"72","30.25%","20","238","166","69.75%"
"154","66.38%","21","232","78","33.62%"
"68","40.72%","22","167","99","59.28%"
"","%","","Votes Cast","","%"
"155","39.24%","23","395","240","60.76%"
"55","27.50%","24","200","145","72.50%"
"77","38.31%","25","201","124","61.69%"
"39","19.70%","26","198","159","80.30%"
"118","47.77%","27","247","129","52.23%"
"51","38.35%","28","133","82","61.65%"
"139","54.09%","29","257","118","45.91%"
"4748","44.26%","","","5979","55.74%"
"83","26.77%","30","310","227","73.23%"
"123","44.09%","31","279","156","55.91%"
"138","52.27%","32","264","126","47.73%"
"140","49.65%","33","282","142","50.35%"
"86","36.60%","34","235","149","63.40%"
"145","48.49%","35","299","154","51.51%"
"150","64.66%","36","232","82","35.34%"
"132","54.77%","37","241","109","45.23%"
"109","40.22%","38","271","162","59.78%"
"107","45.34%","39","236","129","54.66%"
"165","58.72%","40","281","116","41.28%"
"72","37.50%","41","192","120","62.50%"
"29","31.87%","42","91","62","68.13%"
"86","46.99%","43","183","97","53.01%"
"87","44.39%","44","196","109","55.61%"
"","%","","Votes Cast","","%"
"137","54.58%","1","251","114","45.42%"
"299","86.92%","2","344","45","13.08%"
