Ward,Precinct,Precinct Code,Emanuel,%,Del Valle,%,M-B,%,Chico,%,Watkins,%,Walls,%,Total,,White,%,AA,%,Hispanic,%,Asian,%,Native Am,%,Hawaiian,%,Other,%,2 or More,%,Total,Majority
1,1,1001,123,46.59%,53,20.08%,3,1.14%,82,31.06%,2,0.76%,1,0.38%,264,,891,55.51%,63,3.93%,592,36.88%,36,2.24%,0,0.00%,0,0.00%,3,0.19%,20,1.25%,"1,605",White
1,2,1002,149,63.95%,49,21.03%,0,0.00%,34,14.59%,0,0.00%,1,0.43%,233,,869,59.24%,118,8.04%,381,25.97%,63,4.29%,4,0.27%,2,0.14%,3,0.20%,30,2.04%,"1,467",White
1,3,1003,98,60.12%,31,19.02%,1,0.61%,33,20.25%,0,0.00%,0,0.00%,163,,792,71.80%,24,2.18%,218,19.76%,50,4.53%,0,0.00%,0,0.00%,5,0.45%,14,1.27%,"1,103",White
1,4,1004,125,59.24%,35,16.59%,3,1.42%,47,22.27%,1,0.47%,0,0.00%,211,,631,70.35%,20,2.23%,191,21.29%,41,4.57%,0,0.00%,0,0.00%,4,0.45%,11,1.23%,897,White
1,5,1005,133,66.17%,40,19.90%,5,2.49%,23,11.44%,0,0.00%,0,0.00%,201,,914,72.25%,86,6.80%,180,14.23%,58,4.58%,1,0.08%,0,0.00%,3,0.24%,23,1.82%,"1,265",White
1,6,1006,128,54.70%,51,21.79%,2,0.85%,52,22.22%,1,0.43%,0,0.00%,234,,463,69.83%,12,1.81%,163,24.59%,13,1.96%,1,0.15%,0,0.00%,0,0.00%,11,1.66%,663,White
1,7,1007,145,58.94%,30,12.20%,4,1.63%,64,26.02%,0,0.00%,0,0.00%,246,,761,44.53%,66,3.86%,774,45.29%,68,3.98%,4,0.23%,0,0.00%,5,0.29%,29,1.70%,"1,709",Mixed
1,8,1008,161,65.18%,44,17.81%,11,4.45%,24,9.72%,4,1.62%,1,0.40%,247,,706,71.31%,53,5.35%,161,16.26%,47,4.75%,1,0.10%,0,0.00%,3,0.30%,20,2.02%,990,White
1,9,1009,106,47.32%,48,21.43%,3,1.34%,63,28.13%,2,0.89%,2,0.89%,224,,438,40.86%,66,6.16%,517,48.23%,33,3.08%,2,0.19%,2,0.19%,3,0.28%,12,1.12%,"1,072",Mixed
1,10,1010,152,62.30%,33,13.52%,2,0.82%,55,22.54%,1,0.41%,1,0.41%,244,,985,72.59%,94,6.93%,186,13.71%,62,4.57%,1,0.07%,0,0.00%,4,0.29%,24,1.77%,"1,357",White
1,11,1011,126,54.78%,48,20.87%,4,1.74%,52,22.61%,0,0.00%,1,0.43%,230,,378,54.00%,17,2.43%,267,38.14%,23,3.29%,0,0.00%,0,0.00%,0,0.00%,13,1.86%,700,White
