SchoolID,NAME,Managed by Network,Geographic Area,"ES
or
HS","20th DAY
2013-14 School
Enrollment",Total # CR,IC,School's Space Utilization Index,"Space Use Status - 
Permanent","Moible
CR's","Leased
Cr's",Adj IC,Adj Util,"Space Use Status - 
Adjusted",,,,,,,,,
400010,ACE TECH HS,Charter,Bronzeville,HS,481,29.0,696,69%,Underutilized,,,,69%,Underutilized,,,,,,,,,
609772,ADDAMS,13,Far East Side,ES,866,22.0,480,180%,Overcrowded,12,,780,111%,Efficient,,,,,,,,,
609773,AGASSIZ,4,Lincoln Park,ES,484,23.5,540,90%,Efficient,,,,90%,Efficient,,,,,,,,,
610513,AIR FORCE HS,6,Bridgeport - Chinatown,HS,369,37.0,888,42%,Underutilized,,,,42%,Underutilized,,,,,,,,,
610212,ALBANY PARK,1,Albany Irving,ES,280,15.0,330,85%,Efficient,,,,85%,Efficient,,,,,,,,,
609774,ALCOTT,4,Lincoln Park,ES,510,31.5,720,71%,Underutilized,,,,71%,Underutilized,,,,,,,,,
610524,ALCOTT HS,4,Lincoln Park,HS,281,16.5,396,71%,Underutilized,,,,71%,Underutilized,,,,,,,,,
609848,ALDRIDGE,OS4,Far South Side,ES,252,26.5,600,42%,Underutilized,,,,42%,Underutilized,,,,,,,,,
400012,AMANDLA HS,Charter,Englewood,HS,354,17.0,408,87%,Efficient,,,,87%,Efficient,,,,,,,,,
609780,AMES,4,Logan,ES,542,48.5,"1,110",49%,Underutilized,,,,49%,Underutilized,,,,,,,,,
609695,AMUNDSEN HS,2,Ravenswood,HS,1266,51.5,"1,236",102%,Efficient,,,,102%,Efficient,,,,,,,,,
609951,ARIEL,9,Bronzeville,ES,565,28.0,630,90%,Efficient,,,,90%,Efficient,,,,,,,,,
609777,ARMOUR,6,Bridgeport - Chinatown,ES,324,21.0,480,68%,Underutilized,,,,68%,Underutilized,,,,,,,,,
609779,"ARMSTRONG, G",2,Ravenswood,ES,1444,52.0,"1,200",120%,Efficient,,,,120%,Efficient,,,,,,,,,
610287,ASHBURN - FULL LEASE,10,Ashburn,ES,475,27.0,600,79%,Underutilized,,,,79%,Underutilized,,,,,,,,,
610268,ASHE,OS4,Chatham,ES,392,30.0,690,57%,Underutilized,,,,57%,Underutilized,,,,,,,,,
400013,ASPIRA - EARLY COLLEGE HS,Charter,Logan,HS,568,25.0,600,95%,Efficient,,,,95%,Efficient,,,,,,,,,
400015,ASPIRA - RAMIREZ HS,Charter,Humboldt Park,HS,166,19.5,468,35%,Underutilized,,,,35%,Underutilized,,,,,,,,,
400017,ASPIRA-HAUGAN,Charter,Albany Irving,ES,565,38.0,870,65%,Underutilized,,,,65%,Underutilized,,,,,,,,,
609781,ATTUCKS,9,Bronzeville,ES,168,26.0,600,28%,Underutilized,,,,28%,Underutilized,,,,,,,,,
609782,AUDUBON,4,Lincoln Park,ES,591,23.5,540,109%,Efficient,,,,109%,Efficient,,,,,,,,,
400018,AUSTIN B&E HS,3,Austin,HS,186,16.0,384,48%,Underutilized,,,,48%,Underutilized,,,,,,,,,
610501,AUSTIN POLYTECH HS,3,Austin,HS,196,14.0,336,58%,Underutilized,,,,58%,Underutilized,,,,,,,,,
609786,AVALON PARK,12,Chatham,ES,308,36.0,810,38%,Underutilized,,,,38%,Underutilized,,,,,,,,,
