School ID,School Name,Community Area,Address,Action,Proposed Vacant School Building?,Impact,2012-13 20th Day Enrollment
609848,ALTGELD,West Englewood,1340 W 71st St,closure*,no,Altgeld closes. Receiving school is Wentworth. Wentworth relocates to Altgeld.,443
610156,"ARMSTRONG, L",Austin,5345 W Congress Pkwy,closure*,yes,"Armstrong, L closes. Receiving school is Leland. Leland also receives students from May. Leland relocates to May building.",98
609781,ATTUCKS,Grand Boulevard,5055 S State St,closing (phase out),yes,Attucks begins phase out. Closes in 2015. Receiving school is Beethoven. Kindergarteners in Attucks' attendance area will enroll at Beethoven starting fall 2013.,275
610265,BANNEKER,Englewood,6656 S Normal Blvd,closure*,no,Banneker closes. Receiving school is Mays. Mays relocates to Banneker.,337
609790,BARTON,Auburn Gresham,7650 S Wolcott Ave,turnaround,no,Turnaround,643
609791,BASS,Englewood,1140 W 66th St,receiving school,no,Bass is the receving school for Woods.,336
610237,BEETHOVEN,Grand Boulevard,25 W 47th St,receiving school,no,Beethoven is the receiving school for Attucks. Attucks officially closes in 2015. Kindergarteners in Attucks' attendance area will enroll at Beethoven starting fall 2013.,389
609922,BELMONT-CRAGIN,Belmont Cragin,2456 N Mango Ave,co-location,no,Belmont-Cragin K-8 relocates to share building with Northwest Middle. Belmont-Cragin building continues to house pre-k.,613
610365,BETHUNE,East Garfield Park,3030 W Arthington St,closure,yes,Bethune closes. Receiving school is Gregory.,377
610161,BONTEMPS,West Englewood,1241 W 58th St,closure,yes,Bontemps closes. Receiving school is Nicholson.,314
610323,BOWEN HS,South Chicago,2710 E 89th St.,co-location,no,Bowen HS shares building with a new Noble Street Charter HS.,538
610242,BRENNEMANN,Uptown,4251 N Clarendon Ave,receiving school,no,Brennemann is the receiving school for Stewart.,320
610280,BUCKINGHAM,Calumet Heights,9207 S Phillips Ave,closure,yes,Buckingham closes. Receiving school is Montefiore.,35
609821,BURNHAM,South Deering,1903 E 96th St,receiving school*,yes,Burnham is the receiving school for Lawrence. Burnham relocates to Lawrence building.,268
610243,CALHOUN,East Garfield Park,2833 W Adams St,closure,yes,Calhoun closes. Receiving school is Cather.,314
610018,CANTER MIDDLE,Kenwood,4959 S Blackstone Ave,closure,yes,Canter Middle closes. Receiving schools are Harte and Ray.,228
610024,CARDENAS,South Lawndale,2345 S Millard Ave,receiving school,no,Cardenas is a receiving school for Paderewski.,657
609844,CARTER,Washington Park,5740 S Michigan Ave,turnaround,no,Turnaround,346
609826,CASTELLANOS MIDDLE,South Lawndale,2524 S Central Park Ave,receiving school,no,Castellanos is a receving school for Paderewski.,545
610251,CATHER,East Garfield Park,2908 W Washington Blvd,receiving school,no,Cather is receiving school for Calhoun.,237
609851,CHALMERS,North Lawndale,2745 W Roosevelt Rd,turnaround,no,Turnaround,364
609852,CHAPPELL,Lincoln Square,2135 W Foster Ave,receiving school,no,Chappell is a receiving school for Trumbull.,493
609854,CHOPIN,West Town,2450 W Rice St,receiving school,no,Chopin is the receiving school for LaFayette.,267
609761,CORLISS HS,Pullman,821 E 103rd St,co-location,no,Corliss HS shares building with new Noble Street Charter HS.,558
610355,COURTENAY,Ravenswood,1726 W Berteau Ave,receiving school*,yes,Courtenay is the receiving school for Stockton. Courtenay relocates to Stockton building.,281
609702,CRANE HS,Near West Side,2245 W Jackson Blvd,co-location,no,"New Crane Medical Prep opens in same building with old Crane HS and Talent Development Charter HS, which currently share a building.",387
610004,CULLEN,Roseland,10650 S Eberhart Ave,receiving school,no,Cullen is a receiving school for Kohn.,245
609900,CURTIS,Roseland,32 E 115th St,receiving school,no,Curtis is the receiving school for Songhai.,474
610313,DE DIEGO,West Town,1313 N Claremont Ave,receiving school,no,"De Diego is the receiving school for Duprey and Von Humboldt, which currently share a building. De Diego will operate in both the De Diego building and the Von Humboldt/Duprey building.",807
610367,DE PRIEST,Austin,139 S Parkside Ave,receiving school,no,De Priest is a receiving school for Emmet.,549
609881,DELANO,West Garfield Park,3937 W Wilcox St,closure*,no,Delano closes. Receiving school is Melody. Melody relocates to Delano building.,395
610252,DETT,Near West Side,2306 W Maypole Ave,receiving school*,yes,Dett is the receiving school for Herbert. Dett relocates to Herbert building.,202
609885,DEWEY,New City,5415 S Union Ave,turnaround,no,Turnaround,334
609888,DODGE,East Garfield Park,2651 W Washington Blvd,co-location,yes,Dodge relocates to share building with Morton.,433
609894,DRAKE,Douglas,2722 S King Dr,receiving school*,yes,Drake is the receiving school for Williams. Drake relocates to Williams building.,242
610263,DULLES,Greater Grand Crossing,6311 S Calumet Ave,receiving school,no,Dulles is the receiving school for Ross.,528
610266,DUMAS TECH ACAD,Woodlawn,6650 S Ellis Ave,closure*,no,Dumas closes. Receiving school is Wadsworth. Wadsworth relocates to Dumas building.,331
610320,DUPREY,West Town,2620 W Hirsch St,closure,no,"Duprey, currently located in a building with Von Humboldt, closes. Receiving school is De Diego. De Diego will operate in both the De Diego building and the Von Humboldt/Duprey building. ",92
609897,EARLE,West Englewood,6121 S Hermitage Ave,receiving school*,yes,Earle is the receiving school for Goodlow. Earle relocates to Goodlow building.,358
609904,ELLINGTON,Austin,243 N Parkside Ave,receiving school,no,Ellington is a receiving school for Emmet and Key.,337
609906,EMMET,Austin,5500 W Madison St,closure,yes,Emmet closes. Receiving schools are De Priest and Ellington.,458
609907,ERICSON,East Garfield Park,3600 W 5th Ave,closure,yes,Ericson closes. Receiving school is Sumner.,510
610055,FARADAY,West Garfield Park,3250 W Monroe St,receiving school,no,Faraday is the receiving school for Garfield Park.,184
