ID,Sort,Ward,Precinct,Precinct Code,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,Shape_Area,% Geography,% Geography CT,Raw_Emanuel,Raw_Wilson,Raw_Fioretti,Raw_Garcia,Raw_Walls,Raw_Vote_Total,Pror_Emanuel,Pror_Wilson,Pror_Fioretti,Pror_Garcia,Pror_Walls,Pror_Vote_Total,Raw_White,Raw_AA,Raw_Hispanic,Raw_Asian,Raw_Native_Am,Raw_Hawaiian,Raw_Other,Raw_Two_Or_More,Raw_Pop_Total,Pror_White,Pror_AA,Pror_Hispanic,Pror_Aisan,Pror_Native_Am,Pror_Hawaiian,Pror_Other,Pror_Two_Or_More,Pror_Pop_Total,Majority Race,Raw_Median_HH_Income,Wtd_Median_HH_Income,Pror_Median_HH_Income,Range_Income,Raw_Pct_Bachelors,Wtd_Pct_Bachelors,Pror_Pct_Bachelors,Range_Bachelors
1,1,1,1,1001,17,31,222500,17031222500,2225,Census Tract 2225,0.000017,100.00%,100.00%,61,5,11,115,2,194,61,5,11,115,2,194,373,112,895,18,3,0,1,8,1410,373,112,895,18,3,0,1,8,1410,Hisp,51206,72200460,51206,"$40,000 - $60,000",18,25380,18,0% - 20%
2,2,1,2,1002,17,31,222800,17031222800,2228,Census Tract 2228,0.000005,33.33%,41.67%,55,10,12,107,1,185,18,3,4,36,0,62,89,128,829,3,0,0,11,14,1074,37,53,345,1,0,0,5,6,448,Hisp,23686,10611328,44728,"$40,000 - $60,000",9,4032,10,0% - 20%
3,3,1,2,1002,17,31,222700,17031222700,2227,Census Tract 2227,0.00001,66.67%,40.00%,55,10,12,107,1,185,37,7,8,71,1,123,418,296,1488,12,3,0,1,17,2235,167,118,595,5,1,0,0,7,894,Hisp,55272,49413168,44728,"$40,000 - $60,000",11,9834,10,0% - 20%
4,4,1,3,1003,17,31,242200,17031242200,2422,Census Tract 2422,0.000003,21.43%,8.57%,95,3,15,93,1,207,20,1,3,20,0,44,2524,81,763,164,0,0,15,43,3590,216,7,65,14,0,0,1,4,308,White,95299,29352092,103218,"$100,000 - $120,000",66,20328,71,60% - 80%
5,5,1,3,1003,17,31,242100,17031242100,2421,Census Tract 2421,0.000011,78.57%,31.43%,95,3,15,93,1,207,75,2,12,73,1,163,2438,66,859,174,13,6,9,83,3648,766,21,270,55,4,2,3,26,1147,White,105344,120829568,103218,"$100,000 - $120,000",72,82584,71,60% - 80%
6,6,1,4,1004,17,31,243100,17031243100,2431,Census Tract 2431,0.000004,28.57%,11.76%,109,4,20,92,2,227,31,1,6,26,1,65,979,52,1110,63,1,2,2,33,2242,115,6,131,7,0,0,0,4,264,Mixed,97762,25809168,97032,"$80,000 - $100,000",48,12672,60,40% - 60%
7,7,1,4,1004,17,31,243200,17031243200,2432,Census Tract 2432,0.000004,28.57%,11.76%,109,4,20,92,2,227,31,1,6,26,1,65,1099,80,877,72,3,0,7,32,2170,129,9,103,8,0,0,1,4,255,White,100454,25615770,97032,"$80,000 - $100,000",56,14280,60,40% - 60%
8,8,1,4,1004,17,31,242200,17031242200,2422,Census Tract 2422,0.000006,42.86%,17.14%,109,4,20,92,2,227,47,2,9,39,1,97,2524,81,763,164,0,0,15,43,3590,433,14,131,28,0,0,3,7,615,White,95299,58608885,97032,"$80,000 - $100,000",66,40590,60,40% - 60%
9,9,1,5,1005,17,31,242300,17031242300,2423,Census Tract 2423,0.000001,6.67%,2.94%,88,4,10,62,1,165,6,0,1,4,0,11,2532,57,444,137,6,1,11,52,3240,74,2,13,4,0,0,0,2,95,White,87899,8350405,94659,"$80,000 - $100,000",67,6365,70,60% - 80%
10,10,1,5,1005,17,31,242200,17031242200,2422,Census Tract 2422,0.000003,20.00%,8.57%,88,4,10,62,1,165,18,1,2,12,0,33,2524,81,763,164,0,0,15,43,3590,216,7,65,14,0,0,1,4,308,White,95299,29352092,94659,"$80,000 - $100,000",66,20328,70,60% - 80%
