"SchoolID","SchoolName","CommunityAreax","Address","Action","ProposedVacantSchoolBuilding","Impact","X20121320thDayEnrollment","ReceivingCode","ReceivingCode2","ReceivingCode3","SchoolNameCondense","OfficialShortName","OfficialFullName","PhoneNumber","LastKnownStreetAddress","ZipCode","CommunityAreay","Latitude","Longitude","SchoolType","AccessType","X201112PerformanceLevel","XAsian20122013","XBlack20122013","XHispanic20122013","XMultiRacial20122013","XNativeAmerican20122013","XNotAvailable20122013","XHawaiianPacificIslander20122013","XWhite20122013","X201213Bilinugual","X20112012Bilingual","X20102011Bilingual","X20092010Bilingual","X201213SPED","X20112012SPED","X20102011SPED","X20092010SPED","X201213LowIncome","X20112012LowIncome","X20102011LowIncome","X20092010LowIncome","X19992000Enrollment","X20002001Enrollment","X20012002Enrollment","X20022003Enrollment","X20032004Enrollment","X20042005Enrollment","X20052006Enrollment","X20062007Enrollment","X20072008Enrollment","X20082009Enrollment","X20092010Enrollment","X20102011Enrollment","X20112012Enrollment","X20122013Enrollment","TotalClassrooms","XofAllottedHomeroomClassrooms","XofAllottedAncillaryClassrooms","IdealCapacityCPSFormula","X201213UtilizationrateCPSFormula","SpaceUseStatusCPSFormula","ApplestoApplesCorrectedTopofRangeMaxAvg30","ApplestoApplesCorrectedMidpointofRange","ApplestoApplesCorrectedBottomofRange","ApplestoApplesSpaceUtilizationIndex","ApplestoApplesUtilizationRate","ApplestoApplesSpaceUseStatus","X20122013ProbationStatus","X20112012ProbationStatus","X20102011ProbationStatus","X20092010ProbationStatus","X20082009ProbationStatus","X20072008ProbationStatus","X20062007ProbationStatus","X20052006ProbationStatus","X20042005ProbationStatus","X20032004ProbationStatus","X20022003ProbationStatus","X20012002ProbationStatus","X20002001ProbationStatus","X19992000ProbationStatus","X19981999ProbationStatus","X19971998ProbationStatus","X19961997ProbationStatus","X19992000MobilityRate","X20002001MobilityRate","X20012002MobilityRate","X20022003MobilityRate","X20032004MobilityRate","X20042005MobilityRate","X20052006MobilityRate","X20062007MobilityRate","X20072008MobilityRate","X20082009MobilityRate","X20092010MobilityRate","X20102011MobilityRate","X20112012MobilityRate","Linktocohortchart","ISATScoresbyCohortMeetsExceedsReading3rdGrade2007","ISATScoresbyCohortMeetsExceedsReading4thGrade2008","ISATScoresbyCohortMeetsExceedsReading5thGrade2009","ISATScoresbyCohortMeetsExceedsReading6thGrade2010","ISATScoresbyCohortMeetsExceedsReading7thGrade2011","ISATScoresbyCohortMeetsExceedsReading8thGrade2012","ISATScoresbyCohortWarningReading3rdGrade2007","ISATScoresbyCohortWarningReading4thGrade2008","ISATScoresbyCohortWarningReading5thGrade2009","ISATScoresbyCohortWarningReading6thGrade2010","ISATScoresbyCohortWarningReading7thGrade2011","ISATScoresbyCohortWarningReading8thGrade2012","ISATScoresbyCohortMeetsExceedsMath3rdGrade2007","ISATScoresbyCohortMeetsExceedsMath4thGrade2008","ISATScoresbyCohortMeetsExceedsMath5thGrade2009","ISATScoresbyCohortMeetsExceedsMath6thGrade2010","ISATScoresbyCohortMeetsExceedsMath7thGrade2011","ISATScoresbyCohortMeetsExceedsMath8thGrade2012","ISATScoresbyCohortWarningMath3rdGrade2007","ISATScoresbyCohortWarningMath4thGrade2008","ISATScoresbyCohortWarningMath5thGrade2009","ISATScoresbyCohortWarningMath6thGrade2010","ISATScoresbyCohortWarningMath7thGrade2011","ISATScoresbyCohortWarningMath8thGrade2012","ISATScoresbyCohortMeetsExceedsScience4thGrade2008","ISATScoresbyCohortMeetsExceedsScience7thGrade2011","ISATScoresbyCohortWarningScience4thGrade2008","ISATScoresbyCohortWarningScience7thGrade2011","X5EssentialsAmbitiousInstruction2011","X5EssentialsAmbitiousInstruction2012","X5EssentialsEffectiveLeaders2011","X5EssentialsEffectiveLeaders2012","X5EssentialsCollaborativeTeachers2011","X5EssentialsCollaborativeTeachers2012","X5EssentialsInvolvedFamilies2011","X5EssentialsInvolvedFamilies2012","X5EssentialsSupportiveEnvironment2011","X5EssentialsSupportiveEnvironment2012","X5EssentialsRatingAmbitiousInstruction2011","X5EssentialsRatingAmbitiousInstruction2012","X5EssentialsRatingEffectiveLeaders2011","X5EssentialsRatingEffectiveLeaders2012","X5EssentialsRatingCollaborativeTeachers2011","X5EssentialsRatingCollaborativeTeachers2012","X5EssentialsRatingInvolvedFamilies2011","X5EssentialsRatingInvolvedFamilies2012","X5EssentialsRatingSupportiveEnvironment2011","X5EssentialsRatingSupportiveEnvironment2012","ClosingStatus","ReceivingStatus","XPerformancePolicyPoints","ISATCompositeMeetsExceeds","ValueAddedMath","ValueAddedReading","ResultCode"
609781,"ATTUCKS","Grand Boulevard","5055 S State St","closing (phase out)","yes","Attucks begins phase out. Closes in 2015. Receiving school is Beethoven. Kindergarteners in Attucks' attendance area will enroll at Beethoven starting fall 2013.",275,"610237","0","0","ATTUCKS","Attucks","Crispus Attucks Elementary School","(773) 535-1270","5055 S State St",60609,"GRAND BOULEVARD",41.80214349,-87.6257474,"District, non-alternative","Neighborhood Open Area","Level 3",0,99.3,0.4,0,0,0.4,0,0,0.73,0,0,0,"14.18",13.04,12.69,11.7,"99.27",98.19,100,99.3,441,406,287,227,227,453,409,373,341,325,282,268,276,275,26,19,7,570,"0.48","UNDERUTILIZED","570","475","380","-0.42","0.58","UNDERUTILIZED","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","yes","17.2",21.9,42,18.3,21.1,15.4,14,24.8,29,14.1,26,14.4,28.5,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252061&level=S","30","50","19","35","38","55",12,7,0,0,0,0,"55","60","47","41","38","38",27,3,0,3,10,3,"63","31",13,14,"57","41","81","63","85","52","76","64","64","38","neutral","neutral","very strong","strong","very strong","neutral","strong","strong","strong","weak",6,0,9.5,42.2,-2.3,-2.4,1
400095,"GARFIELD PARK","East Garfield Park","3250 W Monroe St","closure","no","Garfield Park closes. Receiving school is Faraday. Garfield Park and Faraday currently share building.",154,"610055","0","0","GARFIELDPARK","Garfield Park","Garfield Park Preparatory Academy ES","(773) 534-0835","3250 W Monroe St",60624,"EAST GARFIELD PARK",41.87963,-87.706712,"District, non-alternative","Lottery/App","Level 3",0,97.4,1.9,0.6,0,0,0,0,0,0.49,0.46,0.8,"9.09",12.25,10.65,5.1,"95.45",99.02,80.56,85.6,0,0,0,0,0,0,0,0,0,0,118,216,204,154,18,13,5,390,"0.39","UNDERUTILIZED","390","325","260","-0.53","0.47","UNDERUTILIZED","yes","no","no","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,8.7,14.9,16.2,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252956&level=S","","","","","","",0,0,0,0,0,0,"","","","","","",0,0,0,0,0,0,"","",0,0,"NDA","NDA","NDA","NDA","NDA","NDA","NDA","NDA","NDA","NDA","no data available","no data available","no data available","no data available","no data available","no data available","no data available","no data available","no data available","no data available",1,0,16.7,48.8,-0.6,0.2,1
609906,"EMMET","Austin","5500 W Madison St","closure","yes","Emmet closes. Receiving schools are De Priest and Ellington.",458,"610367","609904","0","EMMET","Emmet","Robert Emmet Elementary School","(773) 534-6050","5500 W Madison St",60644,"AUSTIN",41.88037642,-87.76327497,"District, non-alternative","Neighborhood Open Area","Level 3",0,99.1,0.2,0.2,0,0.2,0.2,0,0,0,0,0,"6.55",6.97,8.08,7.2,"96.07",99.78,99.8,97.7,736,756,683,699,733,688,611,568,544,538,526,495,459,458,30.5,23,7.5,690,"0.66","UNDERUTILIZED","690","575","460","-0.2","0.8","UNDERUTILIZED","yes","no","yes","yes","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","32.7",30,27.6,31.9,37.5,37.4,35.1,31.9,48.7,47.6,47.2,26.5,38.9,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252189&level=S","25","35","32","62","60","83",17,5,2,2,2,0,"46","41","4","68","60","70",32,2,0,0,16,0,"25","71",14,16,"71","89","NDA","NDA","NDA","NDA","NDA","NDA","64","85","strong","very strong","no data available","no data available","no data available","no data available","no data available","no data available","strong","very strong",1,0,47.6,70.4,-0.1,0,1
609907,"ERICSON","East Garfield Park","3600 W 5th Ave","closure","yes","Ericson closes. Receiving school is Sumner.",510,"610194","0","0","ERICSON","Ericson","Leif Ericson Elementary Scholastic Academy","(773) 534-6660","3600 W 5th Ave",60624,"EAST GARFIELD PARK",41.87576191,-87.71584573,"District, non-alternative","Lottery/App","Level 3",0.2,97.8,0.8,0,0,1.2,0,0,0,0.19,0.2,0.2,"4.9",5.43,6.19,7.8,"96.86",97.48,97.01,97,735,751,761,825,823,749,698,637,605,585,564,501,516,510,35,26,9,780,"0.65","UNDERUTILIZED","780","650","520","-0.22","0.78","UNDERUTILIZED","yes","yes","yes","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","8.7",3.5,4.7,4.7,7.7,6.3,4,4.9,15.7,8,10,8,16.5,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252190&level=S","41","50","55","61","66","77",17,5,4,2,0,0,"58","53","50","59","74","79",15,2,0,2,6,0,"47","64",12,11,"52","67","NDA","56","NDA","29","NDA","37","49","57","neutral","strong","no data available","neutral","no data available","weak","no data available","weak","neutral","neutral",1,0,45.2,71.8,-1.2,-0.8,1
609916,"FERMI","South Shore","1415 E 70th St","closure","no","Fermi closes. Receiving school is South Shore Fine Arts. Currently, the two schools share a building.",237,"610530","0","0","FERMI","Fermi","Enrico Fermi Elementary School","(773) 535-0540","1415 E 70th St",60637,"SOUTH SHORE",41.76772772,-87.59039017,"District, non-alternative","Neighborhood Open Area","Level 3",0.4,98.7,0.8,0,0,0,0,0,0.42,0,0,0,"27.43",26.16,23.56,25.31,"99.16",98.31,98.22,100,486,500,472,523,456,376,366,326,255,239,245,225,237,237,21,16,5,450,"0.53","UNDERUTILIZED","480","400","320","-0.41","0.59","UNDERUTILIZED","yes","yes","yes","yes","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","47.9",52,42.4,46,44.4,41.1,55.2,50.8,53.8,51.6,40.3,50.7,39.5,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252201&level=S","33","44","53","52","52","69",25,13,0,0,3,0,"36","50","53","44","35","56",27,13,0,0,7,0,"31","38",13,17,"63","56","42","23","47","33","42","31","65","43","strong","neutral","neutral","weak","neutral","weak","neutral","weak","strong","neutral",1,0,23.8,50.2,0.1,0,1
609932,"OWENS","West Pullman","12450 S State St","closure","yes","Owens closes. Receiving school is Gompers.",328,"609943","0","0","OWENS","Owens","Jesse Owens Elementary Community Academy","(773) 535-5661","12450 S State St",60628,"WEST PULLMAN",41.66737294,-87.62242272,"District, non-alternative","Neighborhood Open Area","Level 3",0,98.2,1.8,0,0,0,0,0,0,0,0,0,"10.67",10.53,8.25,8.25,"76.83",93.57,84.16,90.98,552,491,469,474,469,475,472,473,439,418,388,303,342,328,21.5,16,5.5,480,"0.68","UNDERUTILIZED","480","400","320","-0.18","0.82","EFFICIENT","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","19",20.5,18.6,23,22.8,21.1,23.3,23.2,39.5,12.2,26.4,23.3,29,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252810&level=S","","","","","","",0,0,0,0,0,0,"","","","","","",0,0,0,0,0,0,"","",0,0,"NDA","NDA","NDA","NDA","NDA","NDA","NDA","NDA","NDA","NDA","no data available","no data available","no data available","no data available","no data available","no data available","no data available","no data available","no data available","no data available",1,0,26.7,56.8,0,0,1
610018,"CANTER MIDDLE","Kenwood","4959 S Blackstone Ave","closure","yes","Canter Middle closes. Receiving schools are Harte and Ray.",228,"609969","610142","0","CANTERMIDDLE","Canter Middle","Miriam G Canter Middle School","(773) 535-1410","4959 S Blackstone Ave",60615,"KENWOOD",41.80434474,-87.59039494,"District, non-alternative","Neighborhood Open Area","Level 3",1.3,92.1,3.9,0.9,0.4,0,0,1.3,0.44,0.9,0.96,0,"14.91",11.31,13.94,19.9,"87.72",89.59,86.06,86.4,0,306,209,331,369,333,282,258,261,237,221,208,221,228,17,13,4,390,"0.58","UNDERUTILIZED","408","340","272","-0.33","0.67","UNDERUTILIZED","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","10.4",10.5,8,11.6,15.8,11.4,12.8,9.8,11.6,13.4,10.4,11.6,10.7,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252845&level=S","","","","","78","79",0,0,0,0,0,0,"","","","","74","78",0,0,0,0,0,2,"","74",0,10,"37","NDA","61","62","62","64","54","60","31","NDA","weak","no data available","strong","strong","strong","strong","neutral","strong","weak","no data available",1,0,26.2,75.9,-2.2,-0.8,1
610020,"KEY","Austin","517 N Parkside Ave","closure","yes","Key closes. Receiving school is Ellington.",306,"609904","0","0","KEY","Key","Francis Scott Key Elementary School","(773) 534-6230","517 N Parkside Ave",60644,"AUSTIN",41.88983589,-87.76633519,"District, non-alternative","Neighborhood Open Area","Level 2",0,95.4,2.9,0.3,1,0,0,0.3,0,0,0,0,"15.69",15.15,12.58,10.7,"95.75",97.31,99.69,98.6,670,645,589,564,510,461,496,453,450,389,363,318,297,306,24,18,6,540,"0.57","UNDERUTILIZED","540","450","360","-0.32","0.68","UNDERUTILIZED","no","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","20.9",23.5,28.7,33.8,36.1,21.9,32.1,30.2,39.3,27.6,29.2,27.2,27.8,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252295&level=S","39","36","40","36","59","71",22,6,0,0,0,0,"51","62","49","46","59","54",27,4,0,3,9,0,"28","71",14,15,"64","44","NDA","60","NDA","59","NDA","43","49","51","strong","neutral","no data available","strong","no data available","neutral","no data available","neutral","neutral","neutral",1,0,50,62.7,-1.3,-0.6,1
610023,"KING","Near West Side","740 S Campbell Ave","closure","yes","King closes. Receiving school is Jensen.",284,"610271","0","0","KING","King","William H King Elementary School","(773) 534-7898","740 S Campbell Ave",60612,"NEAR WEST SIDE",41.87186209,-87.68875632,"District, non-alternative","Neighborhood Open Area","Level 3",0.4,77.1,18,0,0,4.2,0,0.4,11.97,11.03,12.54,10.6,"13.03",13.69,14.92,15.7,"92.61",96.58,94.92,98.4,414,375,399,377,395,362,336,348,336,316,312,295,263,284,29,22,7,660,"0.43","UNDERUTILIZED","660","550","440","-0.48","0.52","UNDERUTILIZED","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","37.5",30.1,38.1,25.5,32,21.5,24.8,30.7,32.9,30.9,37.1,18.1,33,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252297&level=S","31","58","43","67","56","70",15,10,3,0,3,0,"46","68","43","67","81","64",15,0,0,8,3,4,"47","66",17,9,"47","45","NDA","45","NDA","42","NDA","41","44","46","neutral","neutral","no data available","neutral","no data available","neutral","no data available","neutral","neutral","neutral",1,0,33.3,65.8,-1.2,-1,1
610028,"KOHN","Roseland","10414 S State St","closure","yes","Kohn closes. Receiving schools are HughesL, Lavizzo and Cullen.",390,"610368","610208","610004","KOHN","Kohn","Alfred David Kohn Elementary School","(773) 535-5489","10414 S State St",60628,"ROSELAND",41.70485072,-87.62360199,"District, non-alternative","Neighborhood Open Area","Level 3",0,99.2,0.3,0.5,0,0,0,0,0,0,0,0,"9.49",9.6,10.94,9.7,"92.82",89.93,93.08,95.9,779,834,758,938,822,849,807,640,579,532,484,448,427,390,46,35,11,1050,"0.37","UNDERUTILIZED","1050","875","700","-0.55","0.45","UNDERUTILIZED","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","no","no","no","yes","yes","yes","45.1",40.8,52.5,46.5,40.2,44.4,44.3,32.6,49.8,40.3,27.9,31.9,51.2,"https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252301&level=S","21","35","40","36","42","54",36,4,2,4,0,0,"32","60","43","51","50","46",31,4,4,2,5,0,"28","62",15,8,"13","NDA","21","NDA","19","NDA","22","NDA","22","NDA","very weak","no data available","weak","no data available","very weak","no data available","weak","no data available","weak","no data available",1,0,35.7,57.7,-1.1,-0.1,1
