X,Y,SchoolID,SchoolName,CommunityA,Address,Action,ProposedVa,Impact,X20121320t,ReceivingC,Receivin_1,Receivin_2,SchoolNa_1,OfficialSh,OfficialFu,PhoneNumbe,LastKnownS,ZipCode,Communit_1,Latitude,Longitude,SchoolType,AccessType,X201112Per,XAsian2012,XBlack2012,XHispanic2,XMultiRaci,XNativeAme,XNotAvaila,XHawaiianP,XWhite2012,X201213Bil,X20112012B,X20102011B,X20092010B,X201213SPE,X20112012S,X20102011S,X20092010S,X201213Low,X20112012L,X20102011L,X20092010L,X19992000E,X20002001E,X20012002E,X20022003E,X20032004E,X20042005E,X20052006E,X20062007E,X20072008E,X20082009E,X20092010E,X20102011E,X20112012E,X20122013E,TotalClass,XofAllotte,XofAllot_1,IdealCapac,X201213Uti,SpaceUseSt,ApplestoAp,Applesto_1,Applesto_2,Applesto_3,Applesto_4,Applesto_5,X20122013P,X20112012P,X20102011P,X20092010P,X20082009P,X20072008P,X20062007P,X20052006P,X20042005P,X20032004P,X20022003P,X20012002P,X20002001P,X19992000P,X19981999P,X19971998P,X19961997P,X19992000M,X20002001M,X20012002M,X20022003M,X20032004M,X20042005M,X20052006M,X20062007M,X20072008M,X20082009M,X20092010M,X20102011M,X20112012M,Linktocoho,ISATScores,ISATScor_1,ISATScor_2,ISATScor_3,ISATScor_4,ISATScor_5,ISATScor_6,ISATScor_7,ISATScor_8,ISATScor_9,ISATScor10,ISATScor11,ISATScor12,ISATScor13,ISATScor14,ISATScor15,ISATScor16,ISATScor17,ISATScor18,ISATScor19,ISATScor20,ISATScor21,ISATScor22,ISATScor23,ISATScor24,ISATScor25,ISATScor26,ISATScor27,X5Essentia,X5Essent_1,X5Essent_2,X5Essent_3,X5Essent_4,X5Essent_5,X5Essent_6,X5Essent_7,X5Essent_8,X5Essent_9,X5Essent10,X5Essent11,X5Essent12,X5Essent13,X5Essent14,X5Essent15,X5Essent16,X5Essent17,X5Essent18,X5Essent19,ClosingSta,ReceivingS,XPerforman,ISATCompos,ValueAdded,ValueAdd_1,ResultCode,WARD,PRECINCT,FULL_TEXT
-87.6257474,41.80214349,609781,ATTUCKS,Grand Boulevard,5055 S State St,closing (phase out),yes,Attucks begins phase out. Closes in 2015. Receiving school is Beethoven. Kindergarteners in Attucks' attendance area will enroll at Beethoven starting fall 2013.,275,610237,0,0,ATTUCKS,Attucks,Crispus Attucks Elementary School,(773) 535-1270,5055 S State St,60609,GRAND BOULEVARD,41.802143489999999,-87.625747399999995,"District, non-alternative",Neighborhood Open Area,Level 3,0.000000000000000,99.299999999999997,0.400000000000000,0.000000000000000,0.000000000000000,0.400000000000000,0.000000000000000,0.000000000000000,0.730000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14.18,13.039999999999999,12.690000000000000,11.699999999999999,99.27,98.189999999999998,100.000000000000000,99.299999999999997,441,406,287,227,227,453,409,373,341,325,282,268,276,275,26.000000000000000,19,7.000000000000000,570,0.48,UNDERUTILIZED,570,475,380,-0.42,0.58,UNDERUTILIZED,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,17.199999999999999,21.899999999999999,42.000000000000000,18.300000000000001,21.100000000000001,15.400000000000000,14.000000000000000,24.800000000000001,29.000000000000000,14.100000000000000,26.000000000000000,14.400000000000000,28.500000000000000,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252061&level=S,30,50,19,35,38,55,12,7,0,0,0,0,55,60,47,41,38,38,27,3,0,3,10,3,63,31,13,14,57,41,81,63,85,52,76,64,64,38,neutral,neutral,very strong,strong,very strong,neutral,strong,strong,strong,weak,6,0,9.500000000000000,42.200000000000003,-2.300000000000000,-2.400000000000000,1,3,1,03001
-87.706712,41.87963,400095,GARFIELD PARK,East Garfield Park,3250 W Monroe St,closure,no,Garfield Park closes. Receiving school is Faraday. Garfield Park and Faraday currently share building.,154,610055,0,0,GARFIELDPARK,Garfield Park,Garfield Park Preparatory Academy ES,(773) 534-0835,3250 W Monroe St,60624,EAST GARFIELD PARK,41.879629999999999,-87.706711999999996,"District, non-alternative",Lottery/App,Level 3,0.000000000000000,97.400000000000006,1.900000000000000,0.600000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.490000000000000,0.460000000000000,0.800000000000000,9.09,12.250000000000000,10.650000000000000,5.100000000000000,95.45,99.019999999999996,80.560000000000002,85.599999999999994,0,0,0,0,0,0,0,0,0,0,118,216,204,154,18.000000000000000,13,5.000000000000000,390,0.39,UNDERUTILIZED,390,325,260,-0.53,0.47,UNDERUTILIZED,yes,no,no,,,,,,,,,,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8.699999999999999,14.900000000000000,16.199999999999999,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252956&level=S,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,0,0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,1,0,16.699999999999999,48.799999999999997,-0.600000000000000,0.200000000000000,1,28,3,28003
-87.76327497,41.88037642,609906,EMMET,Austin,5500 W Madison St,closure,yes,Emmet closes. Receiving schools are De Priest and Ellington.,458,610367,609904,0,EMMET,Emmet,Robert Emmet Elementary School,(773) 534-6050,5500 W Madison St,60644,AUSTIN,41.880376419999997,-87.763274969999998,"District, non-alternative",Neighborhood Open Area,Level 3,0.000000000000000,99.099999999999994,0.200000000000000,0.200000000000000,0.000000000000000,0.200000000000000,0.200000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6.55,6.970000000000000,8.080000000000000,7.200000000000000,96.07,99.780000000000001,99.799999999999997,97.700000000000003,736,756,683,699,733,688,611,568,544,538,526,495,459,458,30.500000000000000,23,7.500000000000000,690,0.66,UNDERUTILIZED,690,575,460,-0.2,0.8,UNDERUTILIZED,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,32.700000000000003,30.000000000000000,27.600000000000001,31.899999999999999,37.500000000000000,37.399999999999999,35.100000000000001,31.899999999999999,48.700000000000003,47.600000000000001,47.200000000000003,26.500000000000000,38.899999999999999,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252189&level=S,25,35,32,62,60,83,17,5,2,2,2,0,46,41,4,68,60,70,32,2,0,0,16,0,25,71,14,16,71,89,NDA,NDA,NDA,NDA,NDA,NDA,64,85,strong,very strong,no data available,no data available,no data available,no data available,no data available,no data available,strong,very strong,1,0,47.600000000000001,70.400000000000006,-0.100000000000000,0.000000000000000,1,29,8,29008
-87.71584573,41.87576191,609907,ERICSON,East Garfield Park,3600 W 5th Ave,closure,yes,Ericson closes. Receiving school is Sumner.,510,610194,0,0,ERICSON,Ericson,Leif Ericson Elementary Scholastic Academy,(773) 534-6660,3600 W 5th Ave,60624,EAST GARFIELD PARK,41.875761910000001,-87.715845729999998,"District, non-alternative",Lottery/App,Level 3,0.200000000000000,97.799999999999997,0.800000000000000,0.000000000000000,0.000000000000000,1.200000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.190000000000000,0.200000000000000,0.200000000000000,4.9,5.430000000000000,6.190000000000000,7.800000000000000,96.86,97.480000000000004,97.010000000000005,97.000000000000000,735,751,761,825,823,749,698,637,605,585,564,501,516,510,35.000000000000000,26,9.000000000000000,780,0.65,UNDERUTILIZED,780,650,520,-0.22,0.78,UNDERUTILIZED,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,8.699999999999999,3.500000000000000,4.700000000000000,4.700000000000000,7.700000000000000,6.300000000000000,4.000000000000000,4.900000000000000,15.699999999999999,8.000000000000000,10.000000000000000,8.000000000000000,16.500000000000000,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252190&level=S,41,50,55,61,66,77,17,5,4,2,0,0,58,53,50,59,74,79,15,2,0,2,6,0,47,64,12,11,52,67,NDA,56,NDA,29,NDA,37,49,57,neutral,strong,no data available,neutral,no data available,weak,no data available,weak,neutral,neutral,1,0,45.200000000000003,71.799999999999997,-1.200000000000000,-0.800000000000000,1,28,15,28015
-87.59039017,41.76772772,609916,FERMI,South Shore,1415 E 70th St,closure,no,"Fermi closes. Receiving school is South Shore Fine Arts. Currently, the two schools share a building.",237,610530,0,0,FERMI,Fermi,Enrico Fermi Elementary School,(773) 535-0540,1415 E 70th St,60637,SOUTH SHORE,41.767727720000003,-87.590390170000006,"District, non-alternative",Neighborhood Open Area,Level 3,0.400000000000000,98.700000000000003,0.800000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.420000000000000,0.000000000000000,0.000000000000000,0.000000000000000,27.43,26.160000000000000,23.559999999999999,25.309999999999999,99.16,98.310000000000002,98.219999999999999,100.000000000000000,486,500,472,523,456,376,366,326,255,239,245,225,237,237,21.000000000000000,16,5.000000000000000,450,0.53,UNDERUTILIZED,480,400,320,-0.41,0.59,UNDERUTILIZED,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,47.899999999999999,52.000000000000000,42.399999999999999,46.000000000000000,44.399999999999999,41.100000000000001,55.200000000000003,50.799999999999997,53.799999999999997,51.600000000000001,40.299999999999997,50.700000000000003,39.500000000000000,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252201&level=S,33,44,53,52,52,69,25,13,0,0,3,0,36,50,53,44,35,56,27,13,0,0,7,0,31,38,13,17,63,56,42,23,47,33,42,31,65,43,strong,neutral,neutral,weak,neutral,weak,neutral,weak,strong,neutral,1,0,23.800000000000001,50.200000000000003,0.100000000000000,0.000000000000000,1,5,30,05030
-87.62242272,41.66737294,609932,OWENS,West Pullman,12450 S State St,closure,yes,Owens closes. Receiving school is Gompers.,328,609943,0,0,OWENS,Owens,Jesse Owens Elementary Community Academy,(773) 535-5661,12450 S State St,60628,WEST PULLMAN,41.667372940000000,-87.622422720000003,"District, non-alternative",Neighborhood Open Area,Level 3,0.000000000000000,98.200000000000003,1.800000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.67,10.529999999999999,8.250000000000000,8.250000000000000,76.83,93.569999999999993,84.159999999999997,90.980000000000004,552,491,469,474,469,475,472,473,439,418,388,303,342,328,21.500000000000000,16,5.500000000000000,480,0.68,UNDERUTILIZED,480,400,320,-0.18,0.82,EFFICIENT,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,19.000000000000000,20.500000000000000,18.600000000000001,23.000000000000000,22.800000000000001,21.100000000000001,23.300000000000001,23.199999999999999,39.500000000000000,12.199999999999999,26.399999999999999,23.300000000000001,29.000000000000000,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252810&level=S,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,0,0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,no data available,1,0,26.699999999999999,56.799999999999997,0.000000000000000,0.000000000000000,1,9,44,09044
-87.59039494,41.80434474,610018,CANTER MIDDLE,Kenwood,4959 S Blackstone Ave,closure,yes,Canter Middle closes. Receiving schools are Harte and Ray.,228,609969,610142,0,CANTERMIDDLE,Canter Middle,Miriam G Canter Middle School,(773) 535-1410,4959 S Blackstone Ave,60615,KENWOOD,41.804344739999998,-87.590394939999996,"District, non-alternative",Neighborhood Open Area,Level 3,1.300000000000000,92.099999999999994,3.900000000000000,0.900000000000000,0.400000000000000,0.000000000000000,0.000000000000000,1.300000000000000,0.440000000000000,0.900000000000000,0.960000000000000,0.000000000000000,14.91,11.310000000000000,13.940000000000000,19.899999999999999,87.72,89.590000000000003,86.060000000000002,86.400000000000006,0,306,209,331,369,333,282,258,261,237,221,208,221,228,17.000000000000000,13,4.000000000000000,390,0.58,UNDERUTILIZED,408,340,272,-0.33,0.67,UNDERUTILIZED,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,10.400000000000000,10.500000000000000,8.000000000000000,11.600000000000000,15.800000000000001,11.400000000000000,12.800000000000001,9.800000000000001,11.600000000000000,13.400000000000000,10.400000000000000,11.600000000000000,10.699999999999999,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252845&level=S,,,,,78,79,0,0,0,0,0,0,,,,,74,78,0,0,0,0,0,2,,74,0,10,37,NDA,61,62,62,64,54,60,31,NDA,weak,no data available,strong,strong,strong,strong,neutral,strong,weak,no data available,1,0,26.199999999999999,75.900000000000006,-2.200000000000000,-0.800000000000000,1,4,27,04027
-87.76633519,41.88983589,610020,KEY,Austin,517 N Parkside Ave,closure,yes,Key closes. Receiving school is Ellington.,306,609904,0,0,KEY,Key,Francis Scott Key Elementary School,(773) 534-6230,517 N Parkside Ave,60644,AUSTIN,41.889835890000001,-87.766335190000007,"District, non-alternative",Neighborhood Open Area,Level 2,0.000000000000000,95.400000000000006,2.900000000000000,0.300000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.300000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15.69,15.150000000000000,12.580000000000000,10.699999999999999,95.75,97.310000000000002,99.689999999999998,98.599999999999994,670,645,589,564,510,461,496,453,450,389,363,318,297,306,24.000000000000000,18,6.000000000000000,540,0.57,UNDERUTILIZED,540,450,360,-0.32,0.68,UNDERUTILIZED,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,20.899999999999999,23.500000000000000,28.699999999999999,33.799999999999997,36.100000000000001,21.899999999999999,32.100000000000001,30.199999999999999,39.299999999999997,27.600000000000001,29.199999999999999,27.199999999999999,27.800000000000001,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252295&level=S,39,36,40,36,59,71,22,6,0,0,0,0,51,62,49,46,59,54,27,4,0,3,9,0,28,71,14,15,64,44,NDA,60,NDA,59,NDA,43,49,51,strong,neutral,no data available,strong,no data available,neutral,no data available,neutral,neutral,neutral,1,0,50.000000000000000,62.700000000000003,-1.300000000000000,-0.600000000000000,1,29,33,29033
-87.68875632,41.87186209,610023,KING,Near West Side,740 S Campbell Ave,closure,yes,King closes. Receiving school is Jensen.,284,610271,0,0,KING,King,William H King Elementary School,(773) 534-7898,740 S Campbell Ave,60612,NEAR WEST SIDE,41.871862090000000,-87.688756319999996,"District, non-alternative",Neighborhood Open Area,Level 3,0.400000000000000,77.099999999999994,18.000000000000000,0.000000000000000,0.000000000000000,4.200000000000000,0.000000000000000,0.400000000000000,11.970000000000001,11.029999999999999,12.539999999999999,10.600000000000000,13.03,13.690000000000000,14.920000000000000,15.699999999999999,92.61,96.579999999999998,94.920000000000002,98.400000000000006,414,375,399,377,395,362,336,348,336,316,312,295,263,284,29.000000000000000,22,7.000000000000000,660,0.43,UNDERUTILIZED,660,550,440,-0.48,0.52,UNDERUTILIZED,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,37.500000000000000,30.100000000000001,38.100000000000001,25.500000000000000,32.000000000000000,21.500000000000000,24.800000000000001,30.699999999999999,32.899999999999999,30.899999999999999,37.100000000000001,18.100000000000001,33.000000000000000,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252297&level=S,31,58,43,67,56,70,15,10,3,0,3,0,46,68,43,67,81,64,15,0,0,8,3,4,47,66,17,9,47,45,NDA,45,NDA,42,NDA,41,44,46,neutral,neutral,no data available,neutral,no data available,neutral,no data available,neutral,neutral,neutral,1,0,33.299999999999997,65.799999999999997,-1.200000000000000,-1.000000000000000,1,28,11,28011
-87.62360199,41.70485072,610028,KOHN,Roseland,10414 S State St,closure,yes,"Kohn closes. Receiving schools are HughesL, Lavizzo and Cullen.",390,610368,610208,610004,KOHN,Kohn,Alfred David Kohn Elementary School,(773) 535-5489,10414 S State St,60628,ROSELAND,41.704850720000003,-87.623601989999997,"District, non-alternative",Neighborhood Open Area,Level 3,0.000000000000000,99.200000000000003,0.300000000000000,0.500000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9.49,9.600000000000000,10.940000000000000,9.699999999999999,92.82,89.930000000000007,93.079999999999998,95.900000000000006,779,834,758,938,822,849,807,640,579,532,484,448,427,390,46.000000000000000,35,11.000000000000000,1050,0.37,UNDERUTILIZED,1050,875,700,-0.55,0.45,UNDERUTILIZED,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,45.100000000000001,40.799999999999997,52.500000000000000,46.500000000000000,40.200000000000003,44.399999999999999,44.299999999999997,32.600000000000001,49.799999999999997,40.299999999999997,27.899999999999999,31.899999999999999,51.200000000000003,https://iirc.niu.edu/School.aspx?source=Trends&source2=Cohorts&schoolID=150162990252301&level=S,21,35,40,36,42,54,36,4,2,4,0,0,32,60,43,51,50,46,31,4,4,2,5,0,28,62,15,8,13,NDA,21,NDA,19,NDA,22,NDA,22,NDA,very weak,no data available,weak,no data available,very weak,no data available,weak,no data available,weak,no data available,1,0,35.700000000000003,57.700000000000003,-1.100000000000000,-0.100000000000000,1,34,18,34018
